x,y
20,29
8,30
18,23
11,24
17,33
11,32
27,41
22,33
63,15
71,3
5,33
8,28
9,19
22,20
47,50
33,34
30,36
24,29
31,36
23,45
48,51
37,41
7,30
61,52
52,47
54,49
39,40
42,35
51,29
59,40
58,33
59,34
29,41
57,37
56,33
26,32
43,32
19,16
19,7
45,30
52,51
53,50
52,53
45,39
45,41
33,49
10,53
8,53
44,41
20,29
36,10
9,16
12,1
33,39
52,16
48,24
43,36
34,29
38,35
24,31
14,25
52,20
29,66
30,61
43,43
2,39
42,31
40,36
42,39
33,38
26,32
25,22
36,25
12,30
7,25
23,23
34,28
37,38
4,37
48,53
47,48
44,34
43,38
42,38
34,30
36,32
54,41
43,43
51,23
61,34
7,48
65,28
53,9
46,36
54,30
58,34
35,17
30,31
55,33
40,36
58,26
25,28
19,22
34,17
36,30
38,23
4,50
