x,y
28,47
39,25
39,25
43,6
43,6
23,39
71,53
60,53
64,51
72,55
60,74
53,71
29,31
43,65
56,63
69,53
67,59
67,32
11,73
2,85
45,57
45,58
45,55
57,60
37,67
47,40
60,45
35,32
28,21
21,15
36,60
36,55
44,52
51,48
57,69
72,91
66,43
65,56
64,48
67,34
71,55
42,90
41,91
65,62
63,56
43,57
25,76
69,50
63,63
66,51
47,17
46,58
62,49
68,37
63,50
43,62
44,66
58,66
56,52
65,57
70,75
55,68
46,57
41,76
66,6
66,6
49,58
33,72
43,59
64,31
62,33
67,52
66,46
69,39
64,43
66,39
39,87
37,85
34,51
43,46
70,50
54,30
54,30
72,41
53,54
65,42
72,29
68,65
1,94
1,97
36,35
55,66
60,59
12,30
34,36
60,41
65,51
54,63
44,52
68,50
63,56
30,65
24,54
43,83
26,54
43,57
43,48
21,23
13,80
13,80
8,93
15,54
52,73
