x,y
75,8
67,10
11,32
9,41
23,0
24,4
23,2
54,9
24,0
26,2
64,4
35,5
29,6
55,9
97,3
76,6
93,3
24,56
68,0
62,4
67,3
68,16
59,5
20,8
31,5
38,7
15,5
29,14
23,15
64,12
85,0
52,5
45,0
59,41
31,17
38,27
73,35
99,0
77,17
69,9
20,10
22,9
77,23
94,0
91,2
20,7
25,8
25,8
27,22
57,23
80,37
20,14
5,12
21,22
82,15
72,7
80,16
99,0
69,2
44,18
99,0
99,0
56,12
13,20
37,77
37,77
21,33
20,37
99,0
28,40
27,25
18,6
15,5
45,9
21,12
40,13
23,24
23,24
75,11
69,27
55,49
68,35
89,5
19,24
39,24
70,15
73,7
62,8
91,0
81,9
90,13
23,22
93,22
77,24
39,17
