name,home,away,period,groupName
Ball possession,64%,36%,ALL,Match overview
Expected goals,0.71,0.74,ALL,Match overview
Big chances,0,2,ALL,Match overview
Total shots,15,7,ALL,Match overview
Goalkeeper saves,3,5,ALL,Match overview
Corner kicks,7,6,ALL,Match overview
Fouls,13,10,ALL,Match overview
Passes,494,282,ALL,Match overview
Tackles,20,21,ALL,Match overview
Free kicks,10,13,ALL,Match overview
Yellow cards,5,3,ALL,Match overview
Total shots,15,7,ALL,Shots
Shots on target,5,4,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,4,0,ALL,Shots
Blocked shots,6,3,ALL,Shots
Shots inside box,10,7,ALL,Shots
Shots outside box,5,0,ALL,Shots
Big chances scored,0,1,ALL,Attack
Big chances missed,0,1,ALL,Attack
Touches in penalty area,29,24,ALL,Attack
Fouled in final third,3,0,ALL,Attack
Offsides,2,3,ALL,Attack
Accurate passes,437,213,ALL,Passes
Throw-ins,22,16,ALL,Passes
Final third entries,62,37,ALL,Passes
Final third phase,147/174 (84%),54/84 (64%),ALL,Passes
Long balls,14/30 (47%),19/46 (41%),ALL,Passes
Crosses,8/31 (26%),4/13 (31%),ALL,Passes
Duels,46%,54%,ALL,Duels
Dispossessed,8,12,ALL,Duels
Ground duels,37/81 (46%),44/81 (54%),ALL,Duels
Aerial duels,14/29 (48%),15/29 (52%),ALL,Duels
Dribbles,7/20 (35%),12/20 (60%),ALL,Duels
Tackles won,65%,57%,ALL,Defending
Total tackles,20,21,ALL,Defending
Interceptions,9,9,ALL,Defending
Recoveries,45,43,ALL,Defending
Clearances,24,32,ALL,Defending
Errors lead to a shot,0,1,ALL,Defending
Total saves,3,5,ALL,Goalkeeping
Goals prevented,0.38,0.28,ALL,Goalkeeping
Big saves,2,1,ALL,Goalkeeping
High claims,0,2,ALL,Goalkeeping
Punches,2,0,ALL,Goalkeeping
Goal kicks,3,7,ALL,Goalkeeping
Ball possession,67%,33%,1ST,Match overview
Expected goals,0.36,0.44,1ST,Match overview
Big chances,0,1,1ST,Match overview
Total shots,5,5,1ST,Match overview
Goalkeeper saves,3,1,1ST,Match overview
Corner kicks,3,5,1ST,Match overview
Passes,270,129,1ST,Match overview
Tackles,11,11,1ST,Match overview
Free kicks,7,10,1ST,Match overview
Yellow cards,5,2,1ST,Match overview
Total shots,5,5,1ST,Shots
Shots on target,1,3,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,2,0,1ST,Shots
Blocked shots,2,2,1ST,Shots
Shots inside box,5,5,1ST,Shots
Shots outside box,0,0,1ST,Shots
Big chances scored,0,0,1ST,Attack
Big chances missed,0,1,1ST,Attack
Fouled in final third,2,0,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,245,95,1ST,Passes
Throw-ins,7,6,1ST,Passes
Final third entries,36,21,1ST,Passes
Long balls,8/13 (62%),9/21 (43%),1ST,Passes
Crosses,3/11 (27%),3/8 (38%),1ST,Passes
Duels,44%,56%,1ST,Duels
Dispossessed,5,7,1ST,Duels
Ground duels,21/48 (44%),27/48 (56%),1ST,Duels
Aerial duels,6/13 (46%),7/13 (54%),1ST,Duels
Dribbles,3/9 (33%),8/12 (67%),1ST,Duels
Tackles won,45%,45%,1ST,Defending
Total tackles,11,11,1ST,Defending
Interceptions,5,3,1ST,Defending
Recoveries,22,18,1ST,Defending
Clearances,18,7,1ST,Defending
Total saves,3,1,1ST,Goalkeeping
Goal kicks,2,3,1ST,Goalkeeping
Ball possession,61%,39%,2ND,Match overview
Expected goals,0.35,0.30,2ND,Match overview
Big chances,0,1,2ND,Match overview
Total shots,10,2,2ND,Match overview
Goalkeeper saves,0,4,2ND,Match overview
Corner kicks,4,1,2ND,Match overview
Passes,224,153,2ND,Match overview
Tackles,9,10,2ND,Match overview
Free kicks,3,3,2ND,Match overview
Yellow cards,0,1,2ND,Match overview
Total shots,10,2,2ND,Shots
Shots on target,4,1,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,2,0,2ND,Shots
Blocked shots,4,1,2ND,Shots
Shots inside box,5,2,2ND,Shots
Shots outside box,5,0,2ND,Shots
Big chances scored,0,1,2ND,Attack
Big chances missed,0,0,2ND,Attack
Fouled in final third,1,0,2ND,Attack
Offsides,2,3,2ND,Attack
Accurate passes,192,118,2ND,Passes
Throw-ins,15,10,2ND,Passes
Final third entries,26,16,2ND,Passes
Long balls,6/17 (35%),10/25 (40%),2ND,Passes
Crosses,5/20 (25%),1/5 (20%),2ND,Passes
Duels,49%,51%,2ND,Duels
Dispossessed,3,5,2ND,Duels
Ground duels,16/33 (48%),17/33 (52%),2ND,Duels
Aerial duels,8/16 (50%),8/16 (50%),2ND,Duels
Dribbles,4/11 (36%),4/8 (50%),2ND,Duels
Tackles won,89%,70%,2ND,Defending
Total tackles,9,10,2ND,Defending
Interceptions,4,6,2ND,Defending
Recoveries,23,25,2ND,Defending
Clearances,6,25,2ND,Defending
Total saves,0,4,2ND,Goalkeeping
Goal kicks,1,4,2ND,Goalkeeping
