name,home,away,period,groupName
Ball possession,69%,31%,ALL,Match overview
Expected goals,0.94,0.44,ALL,Match overview
Big chances,1,2,ALL,Match overview
Total shots,14,5,ALL,Match overview
Goalkeeper saves,2,5,ALL,Match overview
Corner kicks,7,2,ALL,Match overview
Fouls,15,6,ALL,Match overview
Passes,604,273,ALL,Match overview
Tackles,12,22,ALL,Match overview
Free kicks,6,15,ALL,Match overview
Yellow cards,4,4,ALL,Match overview
Total shots,14,5,ALL,Shots
Shots on target,5,3,ALL,Shots
Hit woodwork,1,0,ALL,Shots
Shots off target,6,2,ALL,Shots
Blocked shots,3,0,ALL,Shots
Shots inside box,10,3,ALL,Shots
Shots outside box,4,2,ALL,Shots
Big chances missed,1,2,ALL,Attack
Through balls,0,1,ALL,Attack
Touches in penalty area,34,5,ALL,Attack
Fouled in final third,0,1,ALL,Attack
Offsides,0,5,ALL,Attack
Accurate passes,507,189,ALL,Passes
Throw-ins,31,20,ALL,Passes
Final third entries,71,60,ALL,Passes
Final third phase,142/192 (74%),59/100 (59%),ALL,Passes
Long balls,25/55 (45%),22/64 (34%),ALL,Passes
Crosses,9/19 (47%),0/6 (0%),ALL,Passes
Duels,45%,55%,ALL,Duels
Dispossessed,9,7,ALL,Duels
Ground duels,24/66 (36%),42/66 (64%),ALL,Duels
Aerial duels,21/34 (62%),13/34 (38%),ALL,Duels
Dribbles,6/19 (32%),6/11 (55%),ALL,Duels
Tackles won,67%,68%,ALL,Defending
Total tackles,12,22,ALL,Defending
Interceptions,11,11,ALL,Defending
Recoveries,48,53,ALL,Defending
Clearances,16,30,ALL,Defending
Errors lead to a shot,0,2,ALL,Defending
Total saves,2,5,ALL,Goalkeeping
Goals prevented,-0.26,0.57,ALL,Goalkeeping
Big saves,2,0,ALL,Goalkeeping
Punches,0,1,ALL,Goalkeeping
Goal kicks,4,12,ALL,Goalkeeping
Ball possession,65%,35%,1ST,Match overview
Expected goals,0.66,0.00,1ST,Match overview
Big chances,1,0,1ST,Match overview
Total shots,6,0,1ST,Match overview
Goalkeeper saves,0,2,1ST,Match overview
Corner kicks,4,2,1ST,Match overview
Passes,274,147,1ST,Match overview
Tackles,6,13,1ST,Match overview
Free kicks,3,9,1ST,Match overview
Yellow cards,0,2,1ST,Match overview
Total shots,6,0,1ST,Shots
Shots on target,2,0,1ST,Shots
Hit woodwork,1,0,1ST,Shots
Shots off target,3,0,1ST,Shots
Blocked shots,1,0,1ST,Shots
Shots inside box,5,0,1ST,Shots
Shots outside box,1,0,1ST,Shots
Big chances missed,1,0,1ST,Attack
Through balls,0,0,1ST,Attack
Fouled in final third,0,0,1ST,Attack
Offsides,0,4,1ST,Attack
Accurate passes,229,107,1ST,Passes
Throw-ins,16,6,1ST,Passes
Final third entries,32,24,1ST,Passes
Long balls,14/28 (50%),10/30 (33%),1ST,Passes
Crosses,6/11 (55%),0/5 (0%),1ST,Passes
Duels,47%,53%,1ST,Duels
Dispossessed,5,4,1ST,Duels
Ground duels,11/35 (31%),24/35 (69%),1ST,Duels
Aerial duels,16/22 (73%),6/22 (27%),1ST,Duels
Dribbles,2/10 (20%),3/5 (60%),1ST,Duels
Tackles won,67%,62%,1ST,Defending
Total tackles,6,13,1ST,Defending
Interceptions,6,2,1ST,Defending
Recoveries,21,25,1ST,Defending
Clearances,12,13,1ST,Defending
Total saves,0,2,1ST,Goalkeeping
Goal kicks,1,5,1ST,Goalkeeping
Ball possession,73%,27%,2ND,Match overview
Expected goals,0.29,0.44,2ND,Match overview
Big chances,0,2,2ND,Match overview
Total shots,8,5,2ND,Match overview
Goalkeeper saves,2,3,2ND,Match overview
Corner kicks,3,0,2ND,Match overview
Passes,330,126,2ND,Match overview
Tackles,6,9,2ND,Match overview
Free kicks,3,6,2ND,Match overview
Yellow cards,4,2,2ND,Match overview
Total shots,8,5,2ND,Shots
Shots on target,3,3,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,3,2,2ND,Shots
Blocked shots,2,0,2ND,Shots
Shots inside box,5,3,2ND,Shots
Shots outside box,3,2,2ND,Shots
Big chances missed,0,2,2ND,Attack
Through balls,0,1,2ND,Attack
Fouled in final third,0,1,2ND,Attack
Offsides,0,1,2ND,Attack
Accurate passes,278,82,2ND,Passes
Throw-ins,15,14,2ND,Passes
Final third entries,39,36,2ND,Passes
Long balls,11/27 (41%),12/34 (35%),2ND,Passes
Crosses,3/8 (38%),0/1 (0%),2ND,Passes
Duels,42%,58%,2ND,Duels
Dispossessed,4,3,2ND,Duels
Ground duels,13/31 (42%),18/31 (58%),2ND,Duels
Aerial duels,5/12 (42%),7/12 (58%),2ND,Duels
Dribbles,4/9 (44%),3/6 (50%),2ND,Duels
Tackles won,67%,78%,2ND,Defending
Total tackles,6,9,2ND,Defending
Interceptions,5,9,2ND,Defending
Recoveries,27,28,2ND,Defending
Clearances,4,17,2ND,Defending
Total saves,2,3,2ND,Goalkeeping
Goal kicks,3,7,2ND,Goalkeeping
