Match ID,Team,Player Name,Position,Jersey Number,Height,Country,Date of Birth,Substitute,Total Pass,Accurate Pass,Rating
12436496,Home,Nick Pope,G,22,198,England,703641600,False,21,18,6.9
12436496,Home,Valentino Livramento,D,21,181,England,1037059200,False,45,40,6.9
12436496,Home,Fabian Schär,D,5,186,Switzerland,693187200,False,72,61,7.1
12436496,Home,Lloyd Kelly,D,6,191,England,907200000,False,71,60,7.2
12436496,Home,Lewis Hall,D,20,179,England,1094601600,False,67,60,7.1
12436496,Home,Sean Longstaff,M,36,187,England,878169600,False,22,20,6.7
12436496,Home,Bruno Guimarães,M,39,182,Brazil,879638400,False,59,53,7.4
12436496,Home,Joe Willock,M,28,186,England,935107200,False,11,9,6.7
12436496,Home,Joelinton,M,7,186,Brazil,839980800,False,30,23,6.7
12436496,Home,Alexander Isak,F,14,193,Sweden,937872000,False,22,19,6.7
12436496,Home,Anthony Gordon,F,10,183,England,982972800,False,25,17,6.5
12436496,Home,Harvey Barnes,M,11,181,England,881625600,True,20,17,6.8
12436496,Home,Sandro Tonali,M,8,181,Italy,957744000,True,18,16,6.6
12436496,Home,Callum Wilson,F,9,180,England,699148800,True,2,2,6.5
12436496,Home,Jacob Murphy,F,23,176,England,793584000,True,11,7,6.4
12436496,Home,Kieran Trippier,D,2,174,England,653702400,True,13,11,6.5
12436496,Home,Martin Dúbravka,G,1,190,Slovakia,600825600,True,Unknown,Unknown,Unknown
12436496,Home,Matt Targett,D,13,183,England,811382400,True,Unknown,Unknown,Unknown
12436496,Home,Miguel Almirón,M,10,174,Paraguay,760838400,True,Unknown,Unknown,Unknown
12436496,Home,William Osula,F,18,186,Denmark,1059955200,True,Unknown,Unknown,Unknown
12436496,Away,Łukasz Fabiański,G,1,190,Poland,482630400,False,45,22,7.3
12436496,Away,Aaron Wan-Bissaka,D,29,183,England,880502400,False,47,40,7.9
12436496,Away,Jean-Clair Todibo,D,25,189,France,946512000,False,28,23,6.8
12436496,Away,Max Kilman,D,26,192,England,864345600,False,35,31,7.4
12436496,Away,Emerson Palmieri,D,33,176,Italy,775872000,False,37,28,7.3
12436496,Away,Tomáš Souček,M,28,192,Czechia,793843200,False,30,22,7.4
12436496,Away,Lucas Paquetá,M,10,180,Brazil,872640000,False,70,57,7.7
12436496,Away,Jarrod Bowen,M,20,174,England,851040000,False,34,32,8.2
12436496,Away,Carlos Soler,M,4,180,Spain,852163200,False,50,45,6.9
12436496,Away,Crysencio Summerville,M,7,174,Netherlands,1004400000,False,26,23,6.7
12436496,Away,Michail Antonio,F,9,180,Jamaica,638582400,False,15,12,6.6
12436496,Away,Konstantinos Mavropanos,D,15,194,Greece,881798400,True,22,20,7.2
12436496,Away,Vladimír Coufal,D,5,179,Czechia,714441600,True,11,10,6.7
12436496,Away,Danny Ings,F,18,178,England,711849600,True,10,10,6.8
12436496,Away,Guido Rodríguez,M,24,185,Argentina,766108800,True,6,6,6.5
12436496,Away,Andy Irving,M,39,186,Scotland,958176000,True,9,9,6.7
12436496,Away,Alphonse Aréola,G,23,195,France,730771200,True,Unknown,Unknown,Unknown
12436496,Away,Aaron Cresswell,D,3,170,England,629683200,True,Unknown,Unknown,Unknown
12436496,Away,Luis Guilherme,M,17,175,Brazil,1139443200,True,Unknown,Unknown,Unknown
12436496,Away,Oliver Scarles,M,57,180,England,1134345600,True,Unknown,Unknown,Unknown
