name,home,away,period,groupName
Ball possession,66%,34%,ALL,Match overview
Expected goals,1.19,0.33,ALL,Match overview
Big chances,1,0,ALL,Match overview
Total shots,19,7,ALL,Match overview
Goalkeeper saves,0,3,ALL,Match overview
Corner kicks,8,1,ALL,Match overview
Fouls,10,11,ALL,Match overview
Passes,587,295,ALL,Match overview
Tackles,15,16,ALL,Match overview
Free kicks,11,10,ALL,Match overview
Yellow cards,3,2,ALL,Match overview
Total shots,19,7,ALL,Shots
Shots on target,7,0,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,7,5,ALL,Shots
Blocked shots,5,2,ALL,Shots
Shots inside box,14,5,ALL,Shots
Shots outside box,5,2,ALL,Shots
Big chances missed,1,0,ALL,Attack
Touches in penalty area,48,14,ALL,Attack
Fouled in final third,1,4,ALL,Attack
Offsides,4,2,ALL,Attack
Accurate passes,536,240,ALL,Passes
Throw-ins,15,11,ALL,Passes
Final third entries,54,29,ALL,Passes
Final third phase,139/170 (82%),50/75 (67%),ALL,Passes
Long balls,20/34 (59%),20/43 (47%),ALL,Passes
Crosses,3/18 (17%),7/18 (39%),ALL,Passes
Duels,51%,49%,ALL,Duels
Dispossessed,6,9,ALL,Duels
Ground duels,34/64 (53%),30/64 (47%),ALL,Duels
Aerial duels,11/25 (44%),14/25 (56%),ALL,Duels
Dribbles,8/18 (44%),4/10 (40%),ALL,Duels
Tackles won,87%,63%,ALL,Defending
Total tackles,15,16,ALL,Defending
Interceptions,4,10,ALL,Defending
Recoveries,39,30,ALL,Defending
Clearances,14,24,ALL,Defending
Total saves,0,3,ALL,Goalkeeping
Goals prevented,0.00,-1.56,ALL,Goalkeeping
Big saves,0,2,ALL,Goalkeeping
High claims,1,0,ALL,Goalkeeping
Punches,1,0,ALL,Goalkeeping
Goal kicks,6,13,ALL,Goalkeeping
Ball possession,69%,31%,1ST,Match overview
Expected goals,0.88,0.12,1ST,Match overview
Big chances,1,0,1ST,Match overview
Total shots,11,2,1ST,Match overview
Goalkeeper saves,0,3,1ST,Match overview
Corner kicks,5,0,1ST,Match overview
Passes,278,125,1ST,Match overview
Tackles,7,10,1ST,Match overview
Free kicks,7,4,1ST,Match overview
Yellow cards,3,1,1ST,Match overview
Total shots,11,2,1ST,Shots
Shots on target,5,0,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,3,2,1ST,Shots
Blocked shots,3,0,1ST,Shots
Shots inside box,11,2,1ST,Shots
Shots outside box,0,0,1ST,Shots
Big chances missed,1,0,1ST,Attack
Fouled in final third,1,2,1ST,Attack
Offsides,4,1,1ST,Attack
Accurate passes,255,94,1ST,Passes
Throw-ins,13,3,1ST,Passes
Final third entries,32,12,1ST,Passes
Long balls,13/19 (68%),9/24 (38%),1ST,Passes
Crosses,2/12 (17%),3/5 (60%),1ST,Passes
Duels,53%,47%,1ST,Duels
Dispossessed,4,6,1ST,Duels
Ground duels,19/34 (56%),15/34 (44%),1ST,Duels
Aerial duels,6/13 (46%),7/13 (54%),1ST,Duels
Dribbles,5/11 (45%),1/2 (50%),1ST,Duels
Tackles won,86%,90%,1ST,Defending
Total tackles,7,10,1ST,Defending
Interceptions,1,4,1ST,Defending
Recoveries,16,12,1ST,Defending
Clearances,1,18,1ST,Defending
Total saves,0,3,1ST,Goalkeeping
Goal kicks,2,6,1ST,Goalkeeping
Ball possession,64%,36%,2ND,Match overview
Expected goals,0.31,0.21,2ND,Match overview
Big chances,0,0,2ND,Match overview
Total shots,8,5,2ND,Match overview
Goalkeeper saves,0,0,2ND,Match overview
Corner kicks,3,1,2ND,Match overview
Passes,309,170,2ND,Match overview
Tackles,8,6,2ND,Match overview
Free kicks,4,6,2ND,Match overview
Yellow cards,0,1,2ND,Match overview
Total shots,8,5,2ND,Shots
Shots on target,2,0,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,4,3,2ND,Shots
Blocked shots,2,2,2ND,Shots
Shots inside box,3,3,2ND,Shots
Shots outside box,5,2,2ND,Shots
Big chances missed,0,0,2ND,Attack
Fouled in final third,0,2,2ND,Attack
Offsides,0,1,2ND,Attack
Accurate passes,281,146,2ND,Passes
Throw-ins,2,8,2ND,Passes
Final third entries,22,17,2ND,Passes
Long balls,7/15 (47%),11/19 (58%),2ND,Passes
Crosses,1/6 (17%),4/13 (31%),2ND,Passes
Duels,48%,52%,2ND,Duels
Dispossessed,2,3,2ND,Duels
Ground duels,15/30 (50%),15/30 (50%),2ND,Duels
Aerial duels,5/12 (42%),7/12 (58%),2ND,Duels
Dribbles,3/7 (43%),3/8 (38%),2ND,Duels
Tackles won,88%,17%,2ND,Defending
Total tackles,8,6,2ND,Defending
Interceptions,3,6,2ND,Defending
Recoveries,23,18,2ND,Defending
Clearances,13,6,2ND,Defending
Total saves,0,0,2ND,Goalkeeping
Goal kicks,4,7,2ND,Goalkeeping
