Match ID,Team,Player Name,Position,Jersey Number,Height,Country,Date of Birth,Substitute,Total Pass,Accurate Pass,Rating
12436886,Home,Emiliano Martínez,G,23,195,Argentina,715392000,False,35,28,6.5
12436886,Home,Matty Cash,D,2,185,Poland,870912000,False,5,5,6.6
12436886,Home,Ezri Konsa,D,4,183,England,877564800,False,47,44,6.7
12436886,Home,Pau Torres,D,14,192,Spain,853372800,False,44,36,6.2
12436886,Home,Lucas Digne,D,12,178,France,743126400,False,21,17,6.9
12436886,Home,Leon Bailey,M,31,178,Jamaica,871084800,False,20,10,6.6
12436886,Home,Amadou Onana,M,24,195,Belgium,997920000,False,20,18,6.8
12436886,Home,Youri Tielemans,M,8,177,Belgium,862963200,False,29,27,7.1
12436886,Home,John McGinn,M,7,175,Scotland,782438400,False,14,13,6.7
12436886,Home,Morgan Rogers,M,27,187,England,1027641600,False,28,19,7.3
12436886,Home,Ollie Watkins,F,11,179,England,820281600,False,6,2,5.9
12436886,Home,Kosta Nedeljković,D,21,184,Serbia,1134691200,True,18,16,6.5
12436886,Home,Jacob Ramsey,M,41,180,England,991008000,True,13,12,6.8
12436886,Home,Jhon Durán,F,9,185,Colombia,1071273600,True,8,6,6.4
12436886,Home,Ian Maatsen,D,22,178,Netherlands,1015718400,True,9,8,6.4
12436886,Home,Ross Barkley,M,6,188,England,755049600,True,12,10,6.5
12436886,Home,Joe Gauci,G,18,194,Australia,962668800,True,Unknown,Unknown,Unknown
12436886,Home,Diego Carlos,D,3,185,Brazil,732153600,True,Unknown,Unknown,Unknown
12436886,Home,Emiliano Buendía,M,16,170,Argentina,851472000,True,Unknown,Unknown,Unknown
12436886,Home,Jaden Philogene-Bidace,M,29,181,England,1013126400,True,Unknown,Unknown,Unknown
12436886,Away,David Raya,G,22,183,Spain,811123200,False,25,21,7.6
12436886,Away,Ben White,D,4,186,England,876268800,False,60,56,7
12436886,Away,William Saliba,D,2,193,France,985392000,False,90,89,7.5
12436886,Away,Gabriel Magalhães,D,6,190,Brazil,882489600,False,83,77,7.3
12436886,Away,Jurriën Timber,D,12,179,Netherlands,992736000,False,38,32,6.9
12436886,Away,Martin Ødegaard,M,8,178,Norway,913852800,False,49,44,6.9
12436886,Away,Thomas Partey,M,5,185,Ghana,739929600,False,61,54,7.4
12436886,Away,Declan Rice,M,41,188,England,916272000,False,30,28,7.3
12436886,Away,Bukayo Saka,F,7,178,England,999648000,False,28,27,7.7
12436886,Away,Kai Havertz,F,29,193,Germany,929059200,False,23,20,6.1
12436886,Away,Gabriel Martinelli,F,11,180,Brazil,992822400,False,17,13,6.9
12436886,Away,Leandro Trossard,F,19,172,Belgium,786499200,True,5,4,7.2
12436886,Away,Riccardo Calafiori,D,33,188,Italy,1021766400,True,5,4,6.7
12436886,Away,Reiss Nelson,F,19,175,England,944784000,True,Unknown,Unknown,Unknown
12436886,Away,Aaron Ramsdale,G,30,191,England,895104000,True,Unknown,Unknown,Unknown
12436886,Away,Jakub Kiwior,D,15,189,Poland,950572800,True,Unknown,Unknown,Unknown
12436886,Away,Oleksandr Zinchenko,D,17,175,Ukraine,850608000,True,Unknown,Unknown,Unknown
12436886,Away,Jorginho,M,20,180,Italy,693187200,True,Unknown,Unknown,Unknown
12436886,Away,Edward Nketiah,F,9,175,England,928022400,True,Unknown,Unknown,Unknown
12436886,Away,Ethan Nwaneri,F,53,176,England,1174435200,True,Unknown,Unknown,Unknown
