name,home,away,period,groupName
Ball possession,53%,47%,ALL,Match overview
Expected goals,1.45,0.78,ALL,Match overview
Big chances,4,1,ALL,Match overview
Total shots,14,10,ALL,Match overview
Goalkeeper saves,1,3,ALL,Match overview
Corner kicks,10,4,ALL,Match overview
Fouls,16,9,ALL,Match overview
Passes,426,375,ALL,Match overview
Tackles,21,21,ALL,Match overview
Free kicks,9,16,ALL,Match overview
Yellow cards,3,1,ALL,Match overview
Total shots,14,10,ALL,Shots
Shots on target,4,2,ALL,Shots
Hit woodwork,0,1,ALL,Shots
Shots off target,4,4,ALL,Shots
Blocked shots,6,4,ALL,Shots
Shots inside box,11,8,ALL,Shots
Shots outside box,3,2,ALL,Shots
Big chances missed,4,1,ALL,Attack
Through balls,1,0,ALL,Attack
Touches in penalty area,48,21,ALL,Attack
Fouled in final third,5,1,ALL,Attack
Offsides,3,1,ALL,Attack
Accurate passes,357,314,ALL,Passes
Throw-ins,12,19,ALL,Passes
Final third entries,63,37,ALL,Passes
Final third phase,142/186 (76%),63/87 (72%),ALL,Passes
Long balls,20/38 (53%),14/42 (33%),ALL,Passes
Crosses,6/25 (24%),4/17 (24%),ALL,Passes
Duels,51%,49%,ALL,Duels
Dispossessed,11,15,ALL,Duels
Ground duels,39/81 (48%),42/81 (52%),ALL,Duels
Aerial duels,14/22 (64%),8/22 (36%),ALL,Duels
Dribbles,9/19 (47%),6/12 (50%),ALL,Duels
Tackles won,62%,62%,ALL,Defending
Total tackles,21,21,ALL,Defending
Interceptions,9,4,ALL,Defending
Recoveries,47,43,ALL,Defending
Clearances,14,31,ALL,Defending
Errors lead to a shot,1,2,ALL,Defending
Errors lead to a goal,0,1,ALL,Defending
Total saves,1,3,ALL,Goalkeeping
Goals prevented,-0.12,-1.71,ALL,Goalkeeping
Big saves,1,0,ALL,Goalkeeping
High claims,2,2,ALL,Goalkeeping
Punches,0,4,ALL,Goalkeeping
Goal kicks,8,8,ALL,Goalkeeping
Ball possession,63%,37%,1ST,Match overview
Expected goals,0.30,0.33,1ST,Match overview
Big chances,1,1,1ST,Match overview
Total shots,4,2,1ST,Match overview
Goalkeeper saves,1,0,1ST,Match overview
Corner kicks,7,3,1ST,Match overview
Passes,234,138,1ST,Match overview
Tackles,13,9,1ST,Match overview
Free kicks,6,6,1ST,Match overview
Yellow cards,1,1,1ST,Match overview
Total shots,4,2,1ST,Shots
Shots on target,1,2,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,0,0,1ST,Shots
Blocked shots,3,0,1ST,Shots
Shots inside box,3,2,1ST,Shots
Shots outside box,1,0,1ST,Shots
Big chances missed,1,1,1ST,Attack
Through balls,0,0,1ST,Attack
Fouled in final third,5,1,1ST,Attack
Offsides,3,0,1ST,Attack
Accurate passes,199,112,1ST,Passes
Throw-ins,5,8,1ST,Passes
Final third entries,35,10,1ST,Passes
Long balls,8/16 (50%),3/20 (15%),1ST,Passes
Crosses,4/18 (22%),0/6 (0%),1ST,Passes
Duels,65%,35%,1ST,Duels
Dispossessed,4,9,1ST,Duels
Ground duels,23/39 (59%),16/39 (41%),1ST,Duels
Aerial duels,10/12 (83%),2/12 (17%),1ST,Duels
Dribbles,4/9 (44%),1/5 (20%),1ST,Duels
Tackles won,69%,78%,1ST,Defending
Total tackles,13,9,1ST,Defending
Interceptions,4,2,1ST,Defending
Recoveries,23,18,1ST,Defending
Clearances,4,20,1ST,Defending
Total saves,1,0,1ST,Goalkeeping
Goal kicks,1,3,1ST,Goalkeeping
Ball possession,44%,56%,2ND,Match overview
Expected goals,1.15,0.46,2ND,Match overview
Big chances,3,0,2ND,Match overview
Total shots,10,8,2ND,Match overview
Goalkeeper saves,0,3,2ND,Match overview
Corner kicks,3,1,2ND,Match overview
Passes,192,237,2ND,Match overview
Tackles,8,12,2ND,Match overview
Free kicks,3,10,2ND,Match overview
Yellow cards,2,0,2ND,Match overview
Total shots,10,8,2ND,Shots
Shots on target,3,0,2ND,Shots
Hit woodwork,0,1,2ND,Shots
Shots off target,4,4,2ND,Shots
Blocked shots,3,4,2ND,Shots
Shots inside box,8,6,2ND,Shots
Shots outside box,2,2,2ND,Shots
Big chances missed,3,0,2ND,Attack
Through balls,1,0,2ND,Attack
Fouled in final third,0,0,2ND,Attack
Offsides,0,1,2ND,Attack
Accurate passes,158,202,2ND,Passes
Throw-ins,7,11,2ND,Passes
Final third entries,28,27,2ND,Passes
Long balls,12/22 (55%),11/22 (50%),2ND,Passes
Crosses,2/7 (29%),4/11 (36%),2ND,Passes
Duels,38%,62%,2ND,Duels
Dispossessed,7,6,2ND,Duels
Ground duels,16/42 (38%),26/42 (62%),2ND,Duels
Aerial duels,4/10 (40%),6/10 (60%),2ND,Duels
Dribbles,5/10 (50%),5/7 (71%),2ND,Duels
Tackles won,50%,50%,2ND,Defending
Total tackles,8,12,2ND,Defending
Interceptions,5,2,2ND,Defending
Recoveries,24,25,2ND,Defending
Clearances,10,11,2ND,Defending
Total saves,0,3,2ND,Goalkeeping
Goal kicks,7,5,2ND,Goalkeeping
