x,y
30,91
29,91
20,94
59,65
54,72
37,75
23,67
26,60
20,89
15,93
24,83
27,73
7,92
26,83
17,90
35,64
34,48
25,63
27,75
12,61
15,66
8,81
61,63
41,71
40,73
18,89
5,54
14,59
26,75
27,63
29,60
16,54
4,59
14,70
5,57
33,68
30,69
36,70
35,72
55,74
60,94
43,60
46,87
56,93
20,39
17,93
18,91
3,84
10,66
15,39
18,54
26,70
28,73
24,70
28,91
24,86
33,57
27,68
29,48
28,47
53,81
34,90
53,85
38,38
37,48
38,59
4,59
34,88
38,75
46,36
16,63
7,85
5,61
31,61
28,70
11,59
26,69
23,53
21,70
33,53
36,21
35,22
24,11
64,83
11,48
59,46
24,57
26,53
12,88
21,70
26,50
10,41
33,57
33,51
67,96
62,96
46,87
39,90
18,49
54,88
56,33
56,33
58,69
44,33
40,40
37,58
41,69
43,32
