x,y
26,80
5,73
59,90
19,69
7,72
11,76
10,78
68,88
68,87
42,80
58,72
42,75
27,73
46,92
54,94
40,87
87,89
75,79
76,73
19,72
20,78
27,89
74,90
46,74
85,47
53,52
45,92
43,96
31,96
27,92
62,74
63,78
68,94
56,80
56,78
61,95
56,93
31,83
31,84
70,93
63,76
3,48
4,49
76,94
73,93
66,76
66,81
78,76
46,64
8,90
6,96
12,32
35,87
59,70
73,91
37,100
40,91
50,84
67,80
69,92
57,83
76,90
9,61
30,67
60,91
71,64
70,89
60,90
8,86
12,86
27,77
18,66
11,81
32,65
30,70
12,83
3,97
3,97
25,76
24,73
48,34
34,70
14,67
26,92
23,83
3,84
4,83
46,65
46,75
27,65
32,63
34,87
34,90
28,91
29,81
57,93
58,97
11,61
19,65
46,90
61,91
63,86
81,96
60,69
42,85
39,92
19,79
9,74
15,65
5,97
13,76
31,83
32,90
44,82
78,89
66,94
32,77
