x,y
53,23
58,18
19,35
11,6
18,17
37,16
20,27
23,11
32,37
19,31
14,15
37,61
47,43
57,10
28,52
28,52
36,30
35,50
14,28
31,39
32,57
43,40
3,40
8,26
20,14
73,53
11,26
45,46
45,52
45,52
20,80
19,78
35,37
13,35
12,32
42,71
42,71
59,35
32,74
32,74
42,94
30,59
4,28
36,21
26,69
43,72
91,54
54,30
15,12
39,26
39,25
46,26
32,26
35,11
55,47
50,12
41,8
40,8
38,72
52,42
41,37
5,77
11,77
39,67
15,33
32,28
21,3
45,46
45,46
45,25
30,31
62,85
62,85
53,30
25,34
32,44
37,39
42,25
32,40
27,29
19,34
62,27
28,8
26,7
28,35
35,35
45,40
47,55
33,60
46,46
47,52
