Match ID,Team,Player Name,Position,Jersey Number,Height,Country,Date of Birth,Substitute,Total Pass,Accurate Pass,Rating
12436486,Home,Łukasz Fabiański,G,1,190,Poland,482630400,False,22,11,7.6
12436486,Home,Aaron Wan-Bissaka,D,29,183,England,880502400,False,35,27,6.8
12436486,Home,Jean-Clair Todibo,D,25,189,France,946512000,False,48,42,7
12436486,Home,Max Kilman,D,26,192,England,864345600,False,49,34,7
12436486,Home,Emerson Palmieri,D,33,176,Italy,775872000,False,41,32,7.3
12436486,Home,Guido Rodríguez,M,24,185,Argentina,766108800,False,40,33,7
12436486,Home,Jarrod Bowen,M,20,174,England,851040000,False,25,18,7.3
12436486,Home,Tomáš Souček,M,28,192,Czechia,793843200,False,51,45,6.9
12436486,Home,Lucas Paquetá,M,10,180,Brazil,872640000,False,62,50,7.2
12436486,Home,Crysencio Summerville,M,7,174,Netherlands,1004400000,False,23,17,7.2
12436486,Home,Michail Antonio,F,9,180,Jamaica,638582400,False,15,12,6.5
12436486,Home,Vladimír Coufal,D,5,179,Czechia,714441600,True,13,9,6.2
12436486,Home,Carlos Soler,M,4,180,Spain,852163200,True,11,11,6.6
12436486,Home,Danny Ings,F,18,178,England,711849600,True,10,7,7.1
12436486,Home,Luis Guilherme,M,17,175,Brazil,1139443200,True,2,1,6.5
12436486,Home,Wesley Foderingham,G,21,185,England,663811200,True,Unknown,Unknown,Unknown
12436486,Home,Aaron Cresswell,D,3,170,England,629683200,True,Unknown,Unknown,Unknown
12436486,Home,Konstantinos Mavropanos,D,15,194,Greece,881798400,True,Unknown,Unknown,Unknown
12436486,Home,Andy Irving,M,39,186,Scotland,958176000,True,Unknown,Unknown,Unknown
12436486,Home,Oliver Scarles,M,57,180,England,1134345600,True,Unknown,Unknown,Unknown
12436486,Away,Jordan Pickford,G,1,185,England,762998400,False,34,21,8.6
12436486,Away,Ashley Young,D,18,180,England,489715200,False,46,29,7.4
12436486,Away,James Tarkowski,D,6,185,England,722131200,False,53,44,7.9
12436486,Away,Jarrad Branthwaite,D,32,195,England,1025136000,False,42,32,7
12436486,Away,Vitaliy Mykolenko,D,19,180,Ukraine,927936000,False,46,34,7
12436486,Away,Idrissa Gueye,M,27,174,Senegal,622771200,False,63,49,6.8
12436486,Away,Orel Mangala,M,8,178,Belgium,890179200,False,40,36,7.1
12436486,Away,Jesper Lindstrøm,M,29,182,Denmark,951782400,False,36,25,7.2
12436486,Away,Abdoulaye Doucouré,M,16,182,Mali,725846400,False,35,32,7
12436486,Away,Iliman Ndiaye,F,10,180,Senegal,952300800,False,36,28,7.8
12436486,Away,Dominic Calvert-Lewin,F,9,187,England,858470400,False,17,10,7.5
12436486,Away,Beto,F,14,194,Guinea-Bissau,886204800,True,2,1,6.6
12436486,Away,Jack Harrison,M,11,175,England,848448000,True,Unknown,Unknown,6.5
12436486,Away,João Virgínia,G,12,191,Portugal,939513600,True,Unknown,Unknown,Unknown
12436486,Away,Asmir Begović,G,31,198,Bosnia & Herzegovina,551145600,True,Unknown,Unknown,Unknown
12436486,Away,Nathan Patterson,D,2,189,Scotland,1003190400,True,Unknown,Unknown,Unknown
12436486,Away,Michael Keane,D,5,188,England,726710400,True,Unknown,Unknown,Unknown
12436486,Away,Jake O'Brien,D,15,197,Ireland,989884800,True,Unknown,Unknown,Unknown
12436486,Away,Harrison Armstrong,M,28,185,England,1169164800,True,Unknown,Unknown,Unknown
12436486,Away,Callum Bates,M,16,Unknown,England,1127865600,True,Unknown,Unknown,Unknown
