x,y
45,53
59,70
41,57
60,59
53,57
69,46
64,49
65,79
66,51
62,73
61,33
44,51
51,51
57,56
38,46
64,57
89,65
94,58
99,99
81,81
46,71
19,83
78,73
86,67
71,96
66,69
67,65
99,99
55,53
34,74
34,74
34,74
57,65
26,51
35,50
27,82
27,82
63,54
73,79
99,99
52,52
87,70
72,54
72,69
79,79
36,68
39,57
73,72
72,73
75,75
74,76
89,73
10,61
32,55
71,55
83,60
85,57
99,99
76,92
99,99
76,79
62,74
45,76
73,65
34,37
42,48
47,76
81,48
87,48
99,99
26,53
72,96
66,81
73,81
34,89
35,22
33,23
55,69
55,75
64,45
79,29
99,99
98,27
99,99
80,84
60,62
41,68
25,41
65,68
52,30
36,64
15,48
18,82
44,64
33,59
30,20
25,40
24,78
58,66
15,40
7,41
46,45
52,54
44,53
