x,y
68,0
51,10
23,16
79,16
35,13
56,70
43,47
44,53
33,5
18,4
36,20
47,10
34,10
35,7
42,6
42,14
95,4
42,9
70,0
63,4
3,24
42,9
63,7
9,47
72,10
86,28
93,12
30,6
65,5
82,9
82,6
47,0
69,4
45,13
24,6
10,32
9,2
70,31
89,12
13,16
38,14
35,5
53,8
52,6
33,2
36,16
43,16
63,23
54,5
47,54
46,57
49,17
55,14
46,0
50,3
74,12
74,19
67,14
59,24
73,9
41,39
46,46
65,35
74,19
64,37
64,30
65,18
72,39
30,100
35,80
56,7
70,15
70,0
83,4
70,18
65,38
16,16
1,13
68,19
64,22
53,0
52,10
37,34
65,21
64,70
36,18
77,6
85,16
84,15
11,32
11,32
63,0
87,0
57,5
27,36
30,32
