name,home,away,period,groupName
Ball possession,53%,47%,ALL,Match overview
Expected goals,1.24,0.47,ALL,Match overview
Big chances,2,1,ALL,Match overview
Total shots,18,9,ALL,Match overview
Goalkeeper saves,3,4,ALL,Match overview
Corner kicks,8,2,ALL,Match overview
Fouls,17,14,ALL,Match overview
Passes,420,375,ALL,Match overview
Tackles,18,19,ALL,Match overview
Free kicks,14,17,ALL,Match overview
Yellow cards,2,2,ALL,Match overview
Total shots,18,9,ALL,Shots
Shots on target,6,3,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,6,5,ALL,Shots
Blocked shots,6,1,ALL,Shots
Shots inside box,12,6,ALL,Shots
Shots outside box,6,3,ALL,Shots
Big chances scored,1,0,ALL,Attack
Big chances missed,1,1,ALL,Attack
Touches in penalty area,50,18,ALL,Attack
Fouled in final third,1,2,ALL,Attack
Offsides,0,1,ALL,Attack
Accurate passes,357,307,ALL,Passes
Throw-ins,18,15,ALL,Passes
Final third entries,40,56,ALL,Passes
Final third phase,94/118 (80%),67/93 (72%),ALL,Passes
Long balls,17/37 (46%),20/49 (41%),ALL,Passes
Crosses,3/15 (20%),4/14 (29%),ALL,Passes
Duels,50%,50%,ALL,Duels
Dispossessed,9,10,ALL,Duels
Ground duels,41/85 (48%),44/85 (52%),ALL,Duels
Aerial duels,17/30 (57%),13/30 (43%),ALL,Duels
Dribbles,9/19 (47%),8/16 (50%),ALL,Duels
Tackles won,72%,63%,ALL,Defending
Total tackles,18,19,ALL,Defending
Interceptions,8,7,ALL,Defending
Recoveries,38,42,ALL,Defending
Clearances,15,14,ALL,Defending
Errors lead to a shot,2,0,ALL,Defending
Total saves,3,4,ALL,Goalkeeping
Goals prevented,0.19,-0.30,ALL,Goalkeeping
Big saves,2,1,ALL,Goalkeeping
High claims,1,1,ALL,Goalkeeping
Punches,0,2,ALL,Goalkeeping
Goal kicks,6,8,ALL,Goalkeeping
Ball possession,64%,36%,1ST,Match overview
Expected goals,0.72,0.19,1ST,Match overview
Big chances,2,1,1ST,Match overview
Total shots,10,3,1ST,Match overview
Goalkeeper saves,1,3,1ST,Match overview
Corner kicks,4,0,1ST,Match overview
Passes,263,154,1ST,Match overview
Tackles,7,7,1ST,Match overview
Free kicks,9,5,1ST,Match overview
Yellow cards,0,2,1ST,Match overview
Total shots,10,3,1ST,Shots
Shots on target,4,1,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,4,1,1ST,Shots
Blocked shots,2,1,1ST,Shots
Shots inside box,7,2,1ST,Shots
Shots outside box,3,1,1ST,Shots
Big chances scored,1,0,1ST,Attack
Big chances missed,1,1,1ST,Attack
Fouled in final third,0,1,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,234,122,1ST,Passes
Throw-ins,8,7,1ST,Passes
Final third entries,22,20,1ST,Passes
Long balls,11/18 (61%),8/21 (38%),1ST,Passes
Crosses,2/10 (20%),1/4 (25%),1ST,Passes
Duels,58%,42%,1ST,Duels
Dispossessed,4,4,1ST,Duels
Ground duels,21/35 (60%),14/35 (40%),1ST,Duels
Aerial duels,10/18 (56%),8/18 (44%),1ST,Duels
Dribbles,5/8 (63%),2/5 (40%),1ST,Duels
Tackles won,71%,86%,1ST,Defending
Total tackles,7,7,1ST,Defending
Interceptions,6,4,1ST,Defending
Recoveries,17,20,1ST,Defending
Clearances,6,7,1ST,Defending
Total saves,1,3,1ST,Goalkeeping
Goal kicks,3,4,1ST,Goalkeeping
Ball possession,41%,59%,2ND,Match overview
Expected goals,0.52,0.28,2ND,Match overview
Big chances,0,0,2ND,Match overview
Total shots,8,6,2ND,Match overview
Goalkeeper saves,2,1,2ND,Match overview
Corner kicks,4,2,2ND,Match overview
Passes,157,221,2ND,Match overview
Tackles,11,12,2ND,Match overview
Free kicks,5,12,2ND,Match overview
Yellow cards,2,0,2ND,Match overview
Total shots,8,6,2ND,Shots
Shots on target,2,2,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,2,4,2ND,Shots
Blocked shots,4,0,2ND,Shots
Shots inside box,5,4,2ND,Shots
Shots outside box,3,2,2ND,Shots
Big chances scored,0,0,2ND,Attack
Big chances missed,0,0,2ND,Attack
Fouled in final third,1,1,2ND,Attack
Offsides,0,1,2ND,Attack
Accurate passes,123,185,2ND,Passes
Throw-ins,10,8,2ND,Passes
Final third entries,18,36,2ND,Passes
Long balls,6/19 (32%),12/28 (43%),2ND,Passes
Crosses,1/5 (20%),3/10 (30%),2ND,Passes
Duels,44%,56%,2ND,Duels
Dispossessed,5,6,2ND,Duels
Ground duels,20/50 (40%),30/50 (60%),2ND,Duels
Aerial duels,7/12 (58%),5/12 (42%),2ND,Duels
Dribbles,4/11 (36%),6/11 (55%),2ND,Duels
Tackles won,73%,50%,2ND,Defending
Total tackles,11,12,2ND,Defending
Interceptions,2,3,2ND,Defending
Recoveries,21,22,2ND,Defending
Clearances,9,7,2ND,Defending
Total saves,2,1,2ND,Goalkeeping
Goal kicks,3,4,2ND,Goalkeeping
