name,home,away,period,groupName
Ball possession,22%,78%,ALL,Match overview
Expected goals,0.25,1.77,ALL,Match overview
Big chances,1,3,ALL,Match overview
Total shots,3,19,ALL,Match overview
Goalkeeper saves,3,0,ALL,Match overview
Corner kicks,3,12,ALL,Match overview
Fouls,15,16,ALL,Match overview
Passes,181,649,ALL,Match overview
Tackles,16,13,ALL,Match overview
Free kicks,16,15,ALL,Match overview
Yellow cards,2,4,ALL,Match overview
Red cards,1,0,ALL,Match overview
Total shots,3,19,ALL,Shots
Shots on target,1,4,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,0,4,ALL,Shots
Blocked shots,2,11,ALL,Shots
Shots inside box,3,13,ALL,Shots
Shots outside box,0,6,ALL,Shots
Big chances scored,1,0,ALL,Attack
Big chances missed,0,3,ALL,Attack
Touches in penalty area,14,48,ALL,Attack
Fouled in final third,2,4,ALL,Attack
Offsides,1,2,ALL,Attack
Accurate passes,117,579,ALL,Passes
Throw-ins,11,18,ALL,Passes
Final third entries,31,67,ALL,Passes
Final third phase,34/66 (52%),185/222 (83%),ALL,Passes
Long balls,12/39 (31%),19/26 (73%),ALL,Passes
Crosses,1/12 (8%),4/30 (13%),ALL,Passes
Duels,48%,52%,ALL,Duels
Dispossessed,8,9,ALL,Duels
Ground duels,33/67 (49%),34/67 (51%),ALL,Duels
Aerial duels,7/16 (44%),9/16 (56%),ALL,Duels
Dribbles,1/6 (17%),6/13 (46%),ALL,Duels
Tackles won,88%,46%,ALL,Defending
Total tackles,16,13,ALL,Defending
Interceptions,4,3,ALL,Defending
Recoveries,39,41,ALL,Defending
Clearances,34,14,ALL,Defending
Errors lead to a goal,0,1,ALL,Defending
Total saves,3,0,ALL,Goalkeeping
Goals prevented,0.42,-0.37,ALL,Goalkeeping
Big saves,1,0,ALL,Goalkeeping
High claims,0,2,ALL,Goalkeeping
Punches,0,1,ALL,Goalkeeping
Goal kicks,10,3,ALL,Goalkeeping
Ball possession,28%,72%,1ST,Match overview
Expected goals,0.25,0.39,1ST,Match overview
Big chances,1,1,1ST,Match overview
Total shots,3,4,1ST,Match overview
Goalkeeper saves,0,0,1ST,Match overview
Corner kicks,3,1,1ST,Match overview
Passes,121,333,1ST,Match overview
Tackles,6,5,1ST,Match overview
Free kicks,8,8,1ST,Match overview
Yellow cards,1,2,1ST,Match overview
Red cards,1,0,1ST,Match overview
Total shots,3,4,1ST,Shots
Shots on target,1,0,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,0,2,1ST,Shots
Blocked shots,2,2,1ST,Shots
Shots inside box,3,2,1ST,Shots
Shots outside box,0,2,1ST,Shots
Big chances scored,1,0,1ST,Attack
Big chances missed,0,1,1ST,Attack
Fouled in final third,1,2,1ST,Attack
Offsides,1,2,1ST,Attack
Accurate passes,86,297,1ST,Passes
Throw-ins,6,10,1ST,Passes
Final third entries,14,32,1ST,Passes
Long balls,5/17 (29%),9/13 (69%),1ST,Passes
Crosses,1/9 (11%),1/7 (14%),1ST,Passes
Duels,46%,54%,1ST,Duels
Dispossessed,3,3,1ST,Duels
Ground duels,15/30 (50%),15/30 (50%),1ST,Duels
Aerial duels,2/7 (29%),5/7 (71%),1ST,Duels
Dribbles,1/3 (33%),2/5 (40%),1ST,Duels
Tackles won,100%,80%,1ST,Defending
Total tackles,6,5,1ST,Defending
Interceptions,1,2,1ST,Defending
Recoveries,18,19,1ST,Defending
Clearances,7,10,1ST,Defending
Total saves,0,0,1ST,Goalkeeping
Goal kicks,4,1,1ST,Goalkeeping
Ball possession,16%,84%,2ND,Match overview
Expected goals,0.00,1.38,2ND,Match overview
Big chances,0,2,2ND,Match overview
Total shots,0,15,2ND,Match overview
Goalkeeper saves,3,0,2ND,Match overview
Corner kicks,0,11,2ND,Match overview
Passes,60,316,2ND,Match overview
Tackles,10,8,2ND,Match overview
Free kicks,8,7,2ND,Match overview
Yellow cards,1,2,2ND,Match overview
Red cards,0,0,2ND,Match overview
Total shots,0,15,2ND,Shots
Shots on target,0,4,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,0,2,2ND,Shots
Blocked shots,0,9,2ND,Shots
Shots inside box,0,11,2ND,Shots
Shots outside box,0,4,2ND,Shots
Big chances scored,0,0,2ND,Attack
Big chances missed,0,2,2ND,Attack
Fouled in final third,1,2,2ND,Attack
Offsides,0,0,2ND,Attack
Accurate passes,31,282,2ND,Passes
Throw-ins,5,8,2ND,Passes
Final third entries,17,35,2ND,Passes
Long balls,7/22 (32%),10/13 (77%),2ND,Passes
Crosses,0/3 (0%),3/23 (13%),2ND,Passes
Duels,50%,50%,2ND,Duels
Dispossessed,5,6,2ND,Duels
Ground duels,18/37 (49%),19/37 (51%),2ND,Duels
Aerial duels,5/9 (56%),4/9 (44%),2ND,Duels
Dribbles,0/3 (0%),4/8 (50%),2ND,Duels
Tackles won,80%,25%,2ND,Defending
Total tackles,10,8,2ND,Defending
Interceptions,3,1,2ND,Defending
Recoveries,21,22,2ND,Defending
Clearances,27,4,2ND,Defending
Total saves,3,0,2ND,Goalkeeping
Goal kicks,6,2,2ND,Goalkeeping
