name,home,away,period,groupName
Ball possession,38%,62%,ALL,Match overview
Expected goals,0.45,2.65,ALL,Match overview
Big chances,0,6,ALL,Match overview
Total shots,7,18,ALL,Match overview
Goalkeeper saves,3,2,ALL,Match overview
Corner kicks,2,10,ALL,Match overview
Fouls,9,18,ALL,Match overview
Passes,347,570,ALL,Match overview
Tackles,20,9,ALL,Match overview
Free kicks,17,8,ALL,Match overview
Yellow cards,3,1,ALL,Match overview
Total shots,7,18,ALL,Shots
Shots on target,2,5,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,2,6,ALL,Shots
Blocked shots,3,7,ALL,Shots
Shots inside box,5,12,ALL,Shots
Shots outside box,2,6,ALL,Shots
Big chances scored,0,2,ALL,Attack
Big chances missed,0,4,ALL,Attack
Through balls,0,4,ALL,Attack
Touches in penalty area,17,50,ALL,Attack
Fouled in final third,2,2,ALL,Attack
Offsides,5,0,ALL,Attack
Accurate passes,272,492,ALL,Passes
Throw-ins,14,24,ALL,Passes
Final third entries,41,47,ALL,Passes
Final third phase,54/93 (58%),115/152 (76%),ALL,Passes
Long balls,19/47 (40%),30/56 (54%),ALL,Passes
Crosses,2/8 (25%),4/23 (17%),ALL,Passes
Duels,53%,47%,ALL,Duels
Dispossessed,4,9,ALL,Duels
Ground duels,40/68 (59%),28/68 (41%),ALL,Duels
Aerial duels,11/29 (38%),18/29 (62%),ALL,Duels
Dribbles,3/8 (38%),11/22 (50%),ALL,Duels
Tackles won,50%,44%,ALL,Defending
Total tackles,20,9,ALL,Defending
Interceptions,9,5,ALL,Defending
Recoveries,46,45,ALL,Defending
Clearances,28,16,ALL,Defending
Errors lead to a shot,0,1,ALL,Defending
Total saves,3,2,ALL,Goalkeeping
Goals prevented,0.35,0.24,ALL,Goalkeeping
High claims,1,0,ALL,Goalkeeping
Goal kicks,6,4,ALL,Goalkeeping
Ball possession,42%,58%,1ST,Match overview
Expected goals,0.31,0.09,1ST,Match overview
Big chances,0,0,1ST,Match overview
Total shots,4,3,1ST,Match overview
Goalkeeper saves,0,2,1ST,Match overview
Corner kicks,1,6,1ST,Match overview
Passes,180,247,1ST,Match overview
Tackles,11,5,1ST,Match overview
Free kicks,13,7,1ST,Match overview
Yellow cards,3,0,1ST,Match overview
Total shots,4,3,1ST,Shots
Shots on target,2,0,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,1,1,1ST,Shots
Blocked shots,1,2,1ST,Shots
Shots inside box,3,0,1ST,Shots
Shots outside box,1,3,1ST,Shots
Big chances scored,0,0,1ST,Attack
Big chances missed,0,0,1ST,Attack
Through balls,0,1,1ST,Attack
Fouled in final third,2,2,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,135,204,1ST,Passes
Throw-ins,5,11,1ST,Passes
Final third entries,25,18,1ST,Passes
Long balls,14/30 (47%),13/28 (46%),1ST,Passes
Crosses,2/6 (33%),0/12 (0%),1ST,Passes
Duels,58%,42%,1ST,Duels
Dispossessed,4,5,1ST,Duels
Ground duels,25/39 (64%),14/39 (36%),1ST,Duels
Aerial duels,6/14 (43%),8/14 (57%),1ST,Duels
Dribbles,1/2 (50%),2/8 (25%),1ST,Duels
Tackles won,64%,40%,1ST,Defending
Total tackles,11,5,1ST,Defending
Interceptions,3,4,1ST,Defending
Recoveries,29,26,1ST,Defending
Clearances,10,8,1ST,Defending
Total saves,0,2,1ST,Goalkeeping
Goal kicks,1,3,1ST,Goalkeeping
Ball possession,34%,66%,2ND,Match overview
Expected goals,0.15,2.56,2ND,Match overview
Big chances,0,6,2ND,Match overview
Total shots,3,15,2ND,Match overview
Goalkeeper saves,3,0,2ND,Match overview
Corner kicks,1,4,2ND,Match overview
Passes,167,323,2ND,Match overview
Tackles,9,4,2ND,Match overview
Free kicks,4,1,2ND,Match overview
Yellow cards,0,1,2ND,Match overview
Total shots,3,15,2ND,Shots
Shots on target,0,5,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,1,5,2ND,Shots
Blocked shots,2,5,2ND,Shots
Shots inside box,2,12,2ND,Shots
Shots outside box,1,3,2ND,Shots
Big chances scored,0,2,2ND,Attack
Big chances missed,0,4,2ND,Attack
Through balls,0,3,2ND,Attack
Fouled in final third,0,0,2ND,Attack
Offsides,5,0,2ND,Attack
Accurate passes,137,288,2ND,Passes
Throw-ins,9,13,2ND,Passes
Final third entries,16,29,2ND,Passes
Long balls,5/17 (29%),17/28 (61%),2ND,Passes
Crosses,0/2 (0%),4/11 (36%),2ND,Passes
Duels,45%,55%,2ND,Duels
Dispossessed,0,4,2ND,Duels
Ground duels,15/29 (52%),14/29 (48%),2ND,Duels
Aerial duels,5/15 (33%),10/15 (67%),2ND,Duels
Dribbles,2/6 (33%),9/14 (64%),2ND,Duels
Tackles won,33%,50%,2ND,Defending
Total tackles,9,4,2ND,Defending
Interceptions,6,1,2ND,Defending
Recoveries,17,19,2ND,Defending
Clearances,18,8,2ND,Defending
Total saves,3,0,2ND,Goalkeeping
Goal kicks,5,1,2ND,Goalkeeping
