x,y
26,94
2,75
12,66
27,62
46,77
44,80
59,85
31,94
27,97
27,71
26,74
11,89
4,85
15,81
25,75
26,71
42,88
35,92
41,73
51,60
31,70
21,82
48,64
48,64
34,64
65,53
53,86
52,78
34,54
34,54
51,57
36,87
34,69
40,67
4,62
40,84
44,88
27,65
4,61
5,61
20,73
24,93
26,92
15,65
20,32
12,91
25,75
19,67
32,73
28,69
28,72
29,80
28,47
22,63
22,57
9,53
30,66
27,68
27,72
31,64
22,63
20,69
20,75
21,75
32,69
94,11
21,62
14,74
55,89
47,83
21,76
30,65
21,67
52,80
53,83
27,64
5,79
23,70
23,79
20,67
31,64
29,60
45,54
40,63
40,68
40,79
36,85
47,100
45,93
43,87
41,79
32,77
23,68
64,51
9,64
16,69
17,68
31,62
47,90
41,97
22,64
53,92
53,92
24,64
23,67
32,69
43,55
22,45
31,70
10,83
14,69
53,100
49,90
21,68
23,73
43,79
