x,y
21,10
34,47
44,35
43,48
19,3
19,3
54,31
12,29
69,60
63,29
52,29
22,51
22,51
30,13
39,33
30,5
33,3
57,14
62,29
59,26
65,27
31,27
68,16
47,28
35,29
33,38
56,15
14,21
14,13
29,20
43,30
40,34
26,11
35,18
3,14
42,25
34,16
53,17
67,15
32,60
29,65
34,41
42,36
42,38
45,29
32,76
44,50
41,28
41,30
38,38
43,70
42,69
36,59
59,17
65,16
46,39
57,28
32,39
29,45
29,53
30,46
38,25
65,17
21,32
36,36
55,24
11,30
44,45
70,31
55,29
59,26
55,30
34,44
31,26
32,45
77,17
31,25
60,32
74,23
32,36
31,18
42,33
61,36
30,63
36,34
61,27
50,48
63,21
39,29
7,14
34,27
88,4
