x,y
53,77
58,73
59,83
54,85
40,92
49,86
47,82
42,69
25,91
17,91
64,66
73,71
34,75
38,74
30,85
28,81
28,82
33,57
32,60
56,72
56,72
39,66
18,78
54,89
33,75
54,73
51,84
67,73
45,57
24,57
49,69
54,68
62,80
58,81
64,78
41,65
19,71
45,53
39,57
36,54
30,71
11,61
24,55
4,68
26,78
40,64
15,68
11,82
20,72
9,80
61,66
60,65
47,60
47,69
27,80
48,73
62,73
21,75
34,67
35,63
35,78
58,87
24,68
31,64
20,70
20,79
42,72
42,76
65,68
16,82
52,93
46,70
45,68
13,76
12,84
34,87
24,87
36,88
29,81
26,80
43,80
36,82
34,83
36,85
27,74
12,70
26,89
3,88
4,60
18,77
56,52
21,79
27,64
