x,y
58,80
62,89
13,87
11,43
23,73
8,54
9,57
25,72
4,59
8,56
63,73
64,73
15,75
15,75
49,85
26,68
46,59
53,76
11,38
61,95
54,91
56,83
33,80
30,50
41,76
14,55
38,57
35,71
46,64
33,62
25,64
31,92
26,88
29,82
6,55
0,65
11,62
11,62
24,58
34,74
60,79
58,89
60,46
30,89
30,93
65,85
66,88
66,87
66,87
64,87
42,66
80,17
64,67
65,89
55,70
66,65
35,28
19,67
21,64
39,65
36,30
34,46
91,50
22,63
52,60
26,59
26,60
10,61
22,53
72,37
74,36
74,35
60,19
28,67
36,96
42,90
56,78
37,53
19,44
11,23
11,23
58,83
63,61
13,64
