x,y
54,40
52,46
20,35
43,53
3,50
38,36
38,36
44,46
36,64
38,20
35,21
34,21
20,31
14,34
12,33
42,34
34,43
37,38
33,48
28,43
14,35
12,15
30,48
27,48
28,47
33,39
32,79
36,61
53,45
52,47
52,49
51,47
42,49
41,48
14,51
54,48
51,47
61,51
34,71
34,50
46,22
36,28
43,39
55,48
55,51
31,8
38,48
28,42
27,43
62,48
57,69
14,43
12,41
64,35
47,56
22,56
26,48
22,59
44,55
50,57
53,47
54,50
65,53
25,59
59,43
53,44
56,49
45,28
45,39
62,40
32,58
45,46
10,34
38,49
64,36
47,42
29,53
22,49
34,43
61,41
41,0
58,48
35,53
51,35
33,0
25,32
40,52
35,67
96,54
2,48
1,46
21,55
43,41
18,50
26,34
33,38
62,42
57,62
14,46
33,48
22,45
26,21
24,19
29,50
24,43
20,44
82,54
82,55
