Player Name,Player ID
Christian Eriksen,105734
Antony,958380
Bernd Leno,103335
Kenny Tete,190877
Issa Diop,825719
Calvin Bassey,861972
Antonee Robinson,803174
Andreas Pereira,285949
Saša Lukić,371222
Adama Traoré,286165
Emile Smith Rowe,867445
Alex Iwobi,352770
Rodrigo Muniz,1015256
Tom Cairney,82566
Harry Wilson,355528
Raúl Jiménez,192442
Harrison Reed,365802
Jay Stansfield,1013987
Steven Benda,860764
Joshua King,1546231
Jorge Cuenca,868715
Timothy Castagne,329417
Matz Sels,78152
Neco Williams,927356
Willy Boly,139310
Murillo,1199282
Ola Aina,800417
Ibrahim Sangaré,843754
Danilo,1064039
Anthony Elanga,979232
Morgan Gibbs-White,865912
Callum Hudson-Odoi,867442
Chris Wood,50480
Ryan Yates,846252
Harry Toffolo,358218
Nicolás Domínguez,871765
Elliot Anderson,994546
Taiwo Awoniyi,359664
Carlos Miguel,973738
Andrew Omobamidele,983066
Eric da Silva Moreira,1418646
Jota Silva,1011895
Neto,84844
Adam Smith,44566
Illia Zabarnyi,1023567
Dean Huijsen,1176744
Miloš Kerkez,1097425
Alex Scott,1104986
Lewis Cook,548188
Dango Ouattara,1106451
Marcus Tavernier,895576
Luis Sinisterra,836070
Antoine Semenyo,934354
Julián Araujo,978150
Ryan Christie,322391
Justin Kluivert,851596
Daniel Jebbison,1096136
Philip Billing,548660
Mark Travers,856720
James Hill,1156586
Hamed Junior Traorè,892924
Jaidon Anthony,1020680
Christian Walton,198038
Axel Tuanzebe,817979
Luke Woolfenden,893478
Jacob Greaves,990821
Leif Davis,963493
Sam Morsy,108515
Massimo Luongo,204300
Wes Burns,305302
Conor Chaplin,784625
Omari Hutchinson,1090963
Liam Delap,997087
Ben Johnson,914412
Jack Taylor,856669
Marcus Harness,368146
Sammie Szmodics,354782
Ali Al-Hamadi,1010010
Cieran Slicker,1001845
Conor Townsend,197982
Cameron Burgess,358084
Kalvin Phillips,786028
Alisson,243609
Trent Alexander-Arnold,795064
Jarell Quansah,1003339
Virgil van Dijk,151545
Andrew Robertson,262911
Ryan Gravenberch,904897
Alexis Mac Allister,895324
Mohamed Salah,159665
Dominik Szoboszlai,869856
Luis Díaz,883537
Diogo Jota,606164
Ibrahima Konaté,826215
Conor Bradley,1008402
Konstantinos Tsimikas,786259
Cody Gakpo,862967
Caoimhin Kelleher,827362
Harvey Elliott,955245
Curtis Jones,927353
Wataru Endo,143040
Darwin Núñez,924871
Jordan Pickford,138530
Ashley Young,10589
James Tarkowski,145188
Michael Keane,110846
Vitaliy Mykolenko,876643
Tim Iroegbunam,1085950
Idrissa Gueye,106337
Jack Harrison,829570
Abdoulaye Doucouré,96535
Dwight McNeil,935543
Dominic Calvert-Lewin,372344
Iliman Ndiaye,914309
Beto,987489
Mason Holgate,781544
João Virgínia,930666
Jake O'Brien,998253
Jesper Lindstrøm,947929
Jenson Metcalfe,1118002
Harrison Armstrong,1627560
Neal Maupay,268903
Jason Steele,31867
Joël Veltman,219572
Jan Paul van Hecke,962012
Lewis Dunk,115365
Jack Hinshelwood,1142315
James Milner,791
Mats Wieffer,959628
Yankuba Minteh,1400106
João Pedro,975079
Kaoru Mitoma,936849
Danny Welbeck,33902
Simon Adingra,1110842
Adam Webster,216308
Billy Gilmour,907668
Jeremy Sarmiento,983816
Yasin Ayari,1036269
Carl Rushworth,1005800
Valentín Barco,1127057
Carlos Baleba,1199043
Mark O'Mahony,1149855
Marcos Senesi,830659
Evanilson,998490
John Ruddy,1131
Alex Murphy,1125214
Boubacar Traoré,982613
João Félix,851671
Joe Gomez,318927
Sepp van den Berg,924378
Mateus Fernandes,1142562
Lesley Ugochukwu,1048916
Nikola Milenković,836168
Ryan Sessegnon,836698
Oliver Skipp,859901
Julio Enciso,973556
Georginio Rutter,946695
Tariq Lamptey,914691
Igor Júlio,842513
Jakub Kiwior,976037
İlkay Gündoğan,45853
Issa Kaboré,1006189
Arijanet Murić,888971
George Edmundson,803678
Jens Cajuste,857671
Joel Ward,39183
Rob Holding,793228
Naouirou Ahamada,997104
Edson Álvarez,847151
Yves Bissouma,844842
Wilson Odobert,1142679
Fraser Forster,19314
Roman Dixon,1415001
Chiedozie Ogbene,849309
Jack Clarke,921005
Dara O'Shea,856719
Sander Berge,793167
Yunus Konak,1518589
Adam Lallana,17054
Kaelan Casey,1142343
Luis Guilherme,1464248
Rodri,827606
Bilal El Khannouss,1126569
Daniel Iversen,796986
Lamare Bogarde,1089388
Oliwier Zych,1009362
Sil Swinkels,1090521
Séamus Coleman,76632
James Garner,927361
Kepa Arrizabalaga,232422
Max Aarons,943645
David Brooks,855731
Sandro Tonali,892673
Alfie Devine,1049459
Axel Disasi,827243
Cesare Casadei,1016788
Remi Matthews,581610
Kaden Rodney,1185603
Justin Devenny,1084311
Franco Umeh,1149851
Asher Agbinone,1799984
Tommy Setford,1150958
Myles Lewis-Skelly,1423711
Salah Oulad M'Hand,1067114
Bart Verbruggen,994363
Pervis Estupiñán,805465
Ramón Sosa,1015733
Álex Moreno,294593
Nélson Semedo,252821
André,1035996
Tom Heaton,18122
Ethan Wheatley,1426625
Morato,985086
Ferdi Kadıoğlu,825844
Evan Ferguson,999231
Jakub Moder,886242
George Hirst,839712
