name,home,away,period,groupName
Ball possession,70%,30%,ALL,Match overview
Expected goals,1.98,0.48,ALL,Match overview
Big chances,3,2,ALL,Match overview
Total shots,16,3,ALL,Match overview
Goalkeeper saves,2,2,ALL,Match overview
Corner kicks,3,4,ALL,Match overview
Fouls,10,11,ALL,Match overview
Passes,746,312,ALL,Match overview
Tackles,16,22,ALL,Match overview
Free kicks,11,10,ALL,Match overview
Yellow cards,0,2,ALL,Match overview
Total shots,16,3,ALL,Shots
Shots on target,6,3,ALL,Shots
Hit woodwork,1,0,ALL,Shots
Shots off target,7,0,ALL,Shots
Blocked shots,3,0,ALL,Shots
Shots inside box,10,2,ALL,Shots
Shots outside box,6,1,ALL,Shots
Big chances scored,3,1,ALL,Attack
Big chances missed,0,1,ALL,Attack
Through balls,1,0,ALL,Attack
Touches in penalty area,43,7,ALL,Attack
Fouled in final third,1,0,ALL,Attack
Offsides,0,1,ALL,Attack
Accurate passes,673,241,ALL,Passes
Throw-ins,18,11,ALL,Passes
Final third entries,92,29,ALL,Passes
Final third phase,307/359 (86%),30/54 (56%),ALL,Passes
Long balls,22/33 (67%),18/47 (38%),ALL,Passes
Crosses,5/24 (21%),3/9 (33%),ALL,Passes
Duels,55%,45%,ALL,Duels
Dispossessed,15,8,ALL,Duels
Ground duels,43/83 (52%),40/83 (48%),ALL,Duels
Aerial duels,11/16 (69%),5/16 (31%),ALL,Duels
Dribbles,16/23 (70%),8/16 (50%),ALL,Duels
Tackles won,56%,55%,ALL,Defending
Total tackles,16,22,ALL,Defending
Interceptions,3,13,ALL,Defending
Recoveries,50,49,ALL,Defending
Clearances,7,34,ALL,Defending
Total saves,2,2,ALL,Goalkeeping
Goals prevented,-0.05,-0.95,ALL,Goalkeeping
High claims,0,1,ALL,Goalkeeping
Goal kicks,1,11,ALL,Goalkeeping
Ball possession,72%,28%,1ST,Match overview
Expected goals,1.25,0.00,1ST,Match overview
Big chances,2,0,1ST,Match overview
Total shots,10,0,1ST,Match overview
Goalkeeper saves,0,2,1ST,Match overview
Corner kicks,0,1,1ST,Match overview
Passes,375,145,1ST,Match overview
Tackles,10,11,1ST,Match overview
Free kicks,6,7,1ST,Match overview
Yellow cards,0,0,1ST,Match overview
Total shots,10,0,1ST,Shots
Shots on target,5,0,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,3,0,1ST,Shots
Blocked shots,2,0,1ST,Shots
Shots inside box,6,0,1ST,Shots
Shots outside box,4,0,1ST,Shots
Big chances scored,2,0,1ST,Attack
Big chances missed,0,0,1ST,Attack
Through balls,1,0,1ST,Attack
Fouled in final third,1,0,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,333,105,1ST,Passes
Throw-ins,10,4,1ST,Passes
Final third entries,49,16,1ST,Passes
Long balls,11/16 (69%),9/27 (33%),1ST,Passes
Crosses,2/13 (15%),0/3 (0%),1ST,Passes
Duels,58%,42%,1ST,Duels
Dispossessed,7,5,1ST,Duels
Ground duels,24/43 (56%),19/43 (44%),1ST,Duels
Aerial duels,8/12 (67%),4/12 (33%),1ST,Duels
Dribbles,8/12 (67%),1/6 (17%),1ST,Duels
Tackles won,50%,64%,1ST,Defending
Total tackles,10,11,1ST,Defending
Interceptions,1,9,1ST,Defending
Recoveries,29,27,1ST,Defending
Clearances,1,14,1ST,Defending
Total saves,0,2,1ST,Goalkeeping
Goal kicks,1,6,1ST,Goalkeeping
Ball possession,69%,31%,2ND,Match overview
Expected goals,0.73,0.48,2ND,Match overview
Big chances,1,2,2ND,Match overview
Total shots,6,3,2ND,Match overview
Goalkeeper saves,2,0,2ND,Match overview
Corner kicks,3,3,2ND,Match overview
Passes,371,167,2ND,Match overview
Tackles,6,11,2ND,Match overview
Free kicks,5,3,2ND,Match overview
Yellow cards,0,2,2ND,Match overview
Total shots,6,3,2ND,Shots
Shots on target,1,3,2ND,Shots
Hit woodwork,1,0,2ND,Shots
Shots off target,4,0,2ND,Shots
Blocked shots,1,0,2ND,Shots
Shots inside box,4,2,2ND,Shots
Shots outside box,2,1,2ND,Shots
Big chances scored,1,1,2ND,Attack
Big chances missed,0,1,2ND,Attack
Through balls,0,0,2ND,Attack
Fouled in final third,0,0,2ND,Attack
Offsides,0,1,2ND,Attack
Accurate passes,340,136,2ND,Passes
Throw-ins,8,7,2ND,Passes
Final third entries,43,13,2ND,Passes
Long balls,11/17 (65%),9/20 (45%),2ND,Passes
Crosses,3/11 (27%),3/6 (50%),2ND,Passes
Duels,50%,50%,2ND,Duels
Dispossessed,8,3,2ND,Duels
Ground duels,19/40 (48%),21/40 (53%),2ND,Duels
Aerial duels,3/4 (75%),1/4 (25%),2ND,Duels
Dribbles,8/11 (73%),7/10 (70%),2ND,Duels
Tackles won,67%,45%,2ND,Defending
Total tackles,6,11,2ND,Defending
Interceptions,2,4,2ND,Defending
Recoveries,21,22,2ND,Defending
Clearances,6,20,2ND,Defending
Total saves,2,0,2ND,Goalkeeping
Goal kicks,0,5,2ND,Goalkeeping
