name,home,away,period,groupName
Ball possession,45%,55%,ALL,Match overview
Expected goals,1.56,5.43,ALL,Match overview
Big chances,4,12,ALL,Match overview
Total shots,6,26,ALL,Match overview
Goalkeeper saves,6,3,ALL,Match overview
Corner kicks,5,7,ALL,Match overview
Fouls,7,14,ALL,Match overview
Passes,432,535,ALL,Match overview
Tackles,12,15,ALL,Match overview
Free kicks,14,7,ALL,Match overview
Yellow cards,1,0,ALL,Match overview
Red cards,1,0,ALL,Match overview
Total shots,6,26,ALL,Shots
Shots on target,4,13,ALL,Shots
Hit woodwork,0,3,ALL,Shots
Shots off target,0,7,ALL,Shots
Blocked shots,2,6,ALL,Shots
Shots inside box,6,22,ALL,Shots
Shots outside box,0,4,ALL,Shots
Big chances scored,1,3,ALL,Attack
Big chances missed,3,9,ALL,Attack
Through balls,0,4,ALL,Attack
Touches in penalty area,20,51,ALL,Attack
Fouled in final third,0,1,ALL,Attack
Offsides,3,1,ALL,Attack
Accurate passes,384,494,ALL,Passes
Throw-ins,12,8,ALL,Passes
Final third entries,27,59,ALL,Passes
Final third phase,61/75 (81%),149/172 (87%),ALL,Passes
Long balls,18/38 (47%),11/18 (61%),ALL,Passes
Crosses,2/16 (13%),3/12 (25%),ALL,Passes
Duels,60%,40%,ALL,Duels
Dispossessed,3,6,ALL,Duels
Ground duels,39/64 (61%),25/64 (39%),ALL,Duels
Aerial duels,7/13 (54%),6/13 (46%),ALL,Duels
Dribbles,14/26 (54%),4/10 (40%),ALL,Duels
Tackles won,83%,67%,ALL,Defending
Total tackles,12,15,ALL,Defending
Interceptions,6,8,ALL,Defending
Recoveries,36,44,ALL,Defending
Clearances,23,9,ALL,Defending
Errors lead to a shot,1,1,ALL,Defending
Errors lead to a goal,1,0,ALL,Defending
Total saves,6,3,ALL,Goalkeeping
Goals prevented,0.45,0.84,ALL,Goalkeeping
Big saves,0,1,ALL,Goalkeeping
High claims,0,1,ALL,Goalkeeping
Goal kicks,8,1,ALL,Goalkeeping
Ball possession,55%,45%,1ST,Match overview
Expected goals,1.23,2.84,1ST,Match overview
Big chances,3,5,1ST,Match overview
Total shots,5,14,1ST,Match overview
Goalkeeper saves,3,2,1ST,Match overview
Corner kicks,4,3,1ST,Match overview
Passes,251,206,1ST,Match overview
Tackles,7,9,1ST,Match overview
Free kicks,8,5,1ST,Match overview
Yellow cards,0,0,1ST,Match overview
Red cards,1,0,1ST,Match overview
Total shots,5,14,1ST,Shots
Shots on target,3,6,1ST,Shots
Hit woodwork,0,2,1ST,Shots
Shots off target,0,4,1ST,Shots
Blocked shots,2,4,1ST,Shots
Shots inside box,5,11,1ST,Shots
Shots outside box,0,3,1ST,Shots
Big chances scored,1,2,1ST,Attack
Big chances missed,2,3,1ST,Attack
Through balls,0,2,1ST,Attack
Fouled in final third,0,1,1ST,Attack
Offsides,1,0,1ST,Attack
Accurate passes,230,185,1ST,Passes
Throw-ins,8,5,1ST,Passes
Final third entries,15,18,1ST,Passes
Long balls,10/18 (56%),4/10 (40%),1ST,Passes
Crosses,2/12 (17%),2/5 (40%),1ST,Passes
Duels,58%,42%,1ST,Duels
Dispossessed,2,4,1ST,Duels
Ground duels,20/34 (59%),14/34 (41%),1ST,Duels
Aerial duels,3/6 (50%),3/6 (50%),1ST,Duels
Dribbles,6/13 (46%),1/4 (25%),1ST,Duels
Tackles won,86%,78%,1ST,Defending
Total tackles,7,9,1ST,Defending
Interceptions,2,2,1ST,Defending
Recoveries,19,23,1ST,Defending
Clearances,9,5,1ST,Defending
Total saves,3,2,1ST,Goalkeeping
Goal kicks,4,1,1ST,Goalkeeping
Ball possession,36%,64%,2ND,Match overview
Expected goals,0.33,2.59,2ND,Match overview
Big chances,1,7,2ND,Match overview
Total shots,1,12,2ND,Match overview
Goalkeeper saves,3,1,2ND,Match overview
Corner kicks,1,4,2ND,Match overview
Passes,181,329,2ND,Match overview
Tackles,5,6,2ND,Match overview
Free kicks,6,2,2ND,Match overview
Yellow cards,1,0,2ND,Match overview
Red cards,0,0,2ND,Match overview
Total shots,1,12,2ND,Shots
Shots on target,1,7,2ND,Shots
Hit woodwork,0,1,2ND,Shots
Shots off target,0,3,2ND,Shots
Blocked shots,0,2,2ND,Shots
Shots inside box,1,11,2ND,Shots
Shots outside box,0,1,2ND,Shots
Big chances scored,0,1,2ND,Attack
Big chances missed,1,6,2ND,Attack
Through balls,0,2,2ND,Attack
Fouled in final third,0,0,2ND,Attack
Offsides,2,1,2ND,Attack
Accurate passes,154,309,2ND,Passes
Throw-ins,4,3,2ND,Passes
Final third entries,12,41,2ND,Passes
Long balls,8/20 (40%),7/8 (88%),2ND,Passes
Crosses,0/4 (0%),1/7 (14%),2ND,Passes
Duels,62%,38%,2ND,Duels
Dispossessed,1,2,2ND,Duels
Ground duels,19/30 (63%),11/30 (37%),2ND,Duels
Aerial duels,4/7 (57%),3/7 (43%),2ND,Duels
Dribbles,8/13 (62%),3/6 (50%),2ND,Duels
Tackles won,80%,50%,2ND,Defending
Total tackles,5,6,2ND,Defending
Interceptions,4,6,2ND,Defending
Recoveries,17,21,2ND,Defending
Clearances,14,4,2ND,Defending
Total saves,3,1,2ND,Goalkeeping
Goal kicks,4,0,2ND,Goalkeeping
