x,y
39,69
32,95
24,51
12,82
59,71
34,74
29,75
55,93
3,74
20,92
20,92
32,69
46,64
29,51
71,72
16,92
44,66
25,53
71,82
44,36
57,53
96,43
29,79
32,76
65,71
44,62
44,62
39,69
38,79
67,74
42,88
97,43
95,39
44,76
84,85
65,91
75,76
25,35
35,52
51,94
29,88
35,72
21,54
96,18
15,72
24,81
50,85
39,76
59,68
65,78
70,76
58,74
39,73
41,65
65,93
59,93
55,55
56,97
53,56
59,73
38,74
33,95
29,94
32,72
30,40
68,88
66,73
61,86
34,68
14,77
20,71
16,90
34,78
35,80
31,78
31,78
56,69
66,96
20,74
25,73
26,76
27,68
46,58
32,62
32,77
31,77
88,51
