x,y
28,27
33,13
41,13
42,17
45,31
68,50
9,27
25,28
26,25
37,20
30,25
25,15
33,13
9,0
9,3
14,0
22,8
18,14
17,12
24,23
31,23
19,6
25,24
32,9
31,9
31,5
54,19
74,12
46,33
43,28
29,29
17,34
19,28
20,30
65,2
54,3
47,14
54,18
55,20
61,6
31,16
31,16
28,21
43,16
54,23
40,12
54,19
56,19
26,4
43,16
64,27
39,35
41,21
41,17
69,34
63,22
55,16
52,20
56,14
43,14
47,23
54,26
52,21
41,0
36,16
26,14
26,54
30,47
62,21
58,25
57,23
48,21
45,19
21,25
18,18
22,8
7,13
26,4
39,18
18,13
21,5
21,4
24,0
23,4
7,28
6,27
9,13
