x,y
14,55
18,49
61,35
33,76
52,42
55,29
67,39
68,58
71,63
63,36
65,34
20,61
27,59
40,86
39,81
64,40
72,59
55,55
63,22
35,16
32,13
53,57
63,39
70,68
66,62
73,75
68,44
36,21
67,43
65,42
68,27
41,68
40,66
47,51
54,43
80,60
45,16
43,19
73,23
31,44
34,59
37,46
62,63
66,75
16,70
47,52
54,8
33,58
67,67
39,64
44,63
65,92
73,41
62,26
64,6
64,6
74,32
38,63
38,30
38,30
69,65
65,76
14,37
69,41
42,35
74,41
68,48
66,43
63,37
68,41
31,72
60,39
61,54
40,84
38,64
59,92
53,40
51,47
56,51
61,44
61,91
61,91
28,76
36,65
47,57
40,83
43,83
49,61
53,73
62,50
72,62
72,78
69,76
62,28
71,37
57,32
62,67
9,41
60,37
59,37
69,60
50,56
37,30
44,34
45,34
53,42
45,52
45,69
26,54
14,24
69,92
85,94
30,66
34,36
28,69
31,65
24,68
63,42
70,62
11,46
