name,home,away,period,groupName
Ball possession,66%,34%,ALL,Match overview
Expected goals,1.33,1.04,ALL,Match overview
Big chances,2,2,ALL,Match overview
Total shots,18,8,ALL,Match overview
Goalkeeper saves,2,4,ALL,Match overview
Corner kicks,10,1,ALL,Match overview
Fouls,10,18,ALL,Match overview
Passes,483,262,ALL,Match overview
Tackles,12,17,ALL,Match overview
Free kicks,18,10,ALL,Match overview
Yellow cards,2,3,ALL,Match overview
Total shots,18,8,ALL,Shots
Shots on target,6,4,ALL,Shots
Hit woodwork,1,1,ALL,Shots
Shots off target,7,3,ALL,Shots
Blocked shots,5,1,ALL,Shots
Shots inside box,11,5,ALL,Shots
Shots outside box,7,3,ALL,Shots
Big chances scored,2,2,ALL,Attack
Through balls,2,0,ALL,Attack
Touches in penalty area,37,14,ALL,Attack
Fouled in final third,2,0,ALL,Attack
Offsides,3,2,ALL,Attack
Accurate passes,429,193,ALL,Passes
Throw-ins,12,10,ALL,Passes
Final third entries,82,26,ALL,Passes
Final third phase,166/208 (80%),23/45 (51%),ALL,Passes
Long balls,21/34 (62%),21/46 (46%),ALL,Passes
Crosses,9/41 (22%),1/6 (17%),ALL,Passes
Duels,53%,47%,ALL,Duels
Dispossessed,7,8,ALL,Duels
Ground duels,35/67 (52%),32/67 (48%),ALL,Duels
Aerial duels,16/29 (55%),13/29 (45%),ALL,Duels
Dribbles,7/17 (41%),6/10 (60%),ALL,Duels
Tackles won,58%,47%,ALL,Defending
Total tackles,12,17,ALL,Defending
Interceptions,8,3,ALL,Defending
Recoveries,42,38,ALL,Defending
Clearances,10,40,ALL,Defending
Errors lead to a shot,1,1,ALL,Defending
Total saves,2,4,ALL,Goalkeeping
Goals prevented,-0.48,-0.13,ALL,Goalkeeping
Big saves,0,1,ALL,Goalkeeping
High claims,0,3,ALL,Goalkeeping
Goal kicks,3,11,ALL,Goalkeeping
Ball possession,58%,42%,1ST,Match overview
Expected goals,0.64,0.12,1ST,Match overview
Big chances,1,0,1ST,Match overview
Total shots,6,3,1ST,Match overview
Goalkeeper saves,1,2,1ST,Match overview
Corner kicks,5,0,1ST,Match overview
Passes,217,173,1ST,Match overview
Tackles,8,6,1ST,Match overview
Free kicks,6,4,1ST,Match overview
Yellow cards,0,1,1ST,Match overview
Total shots,6,3,1ST,Shots
Shots on target,3,1,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,3,1,1ST,Shots
Blocked shots,0,1,1ST,Shots
Shots inside box,4,2,1ST,Shots
Shots outside box,2,1,1ST,Shots
Big chances scored,1,0,1ST,Attack
Through balls,2,0,1ST,Attack
Fouled in final third,0,0,1ST,Attack
Offsides,2,0,1ST,Attack
Accurate passes,194,137,1ST,Passes
Throw-ins,6,6,1ST,Passes
Final third entries,38,10,1ST,Passes
Long balls,7/14 (50%),11/26 (42%),1ST,Passes
Crosses,4/22 (18%),0/1 (0%),1ST,Passes
Duels,50%,50%,1ST,Duels
Dispossessed,3,5,1ST,Duels
Ground duels,15/28 (54%),13/28 (46%),1ST,Duels
Aerial duels,5/12 (42%),7/12 (58%),1ST,Duels
Dribbles,2/5 (40%),3/6 (50%),1ST,Duels
Tackles won,63%,33%,1ST,Defending
Total tackles,8,6,1ST,Defending
Interceptions,4,3,1ST,Defending
Recoveries,26,17,1ST,Defending
Clearances,7,17,1ST,Defending
Total saves,1,2,1ST,Goalkeeping
Goal kicks,1,6,1ST,Goalkeeping
Ball possession,75%,25%,2ND,Match overview
Expected goals,0.69,0.92,2ND,Match overview
Big chances,1,2,2ND,Match overview
Total shots,12,5,2ND,Match overview
Goalkeeper saves,1,2,2ND,Match overview
Corner kicks,5,1,2ND,Match overview
Passes,266,89,2ND,Match overview
Tackles,4,11,2ND,Match overview
Free kicks,12,6,2ND,Match overview
Yellow cards,2,2,2ND,Match overview
Total shots,12,5,2ND,Shots
Shots on target,3,3,2ND,Shots
Hit woodwork,1,1,2ND,Shots
Shots off target,4,2,2ND,Shots
Blocked shots,5,0,2ND,Shots
Shots inside box,7,3,2ND,Shots
Shots outside box,5,2,2ND,Shots
Big chances scored,1,2,2ND,Attack
Through balls,0,0,2ND,Attack
Fouled in final third,2,0,2ND,Attack
Offsides,1,2,2ND,Attack
Accurate passes,235,56,2ND,Passes
Throw-ins,6,4,2ND,Passes
Final third entries,44,16,2ND,Passes
Long balls,14/20 (70%),10/20 (50%),2ND,Passes
Crosses,5/19 (26%),1/5 (20%),2ND,Passes
Duels,55%,45%,2ND,Duels
Dispossessed,4,3,2ND,Duels
Ground duels,20/39 (51%),19/39 (49%),2ND,Duels
Aerial duels,11/17 (65%),6/17 (35%),2ND,Duels
Dribbles,5/12 (42%),3/4 (75%),2ND,Duels
Tackles won,50%,55%,2ND,Defending
Total tackles,4,11,2ND,Defending
Interceptions,4,0,2ND,Defending
Recoveries,16,21,2ND,Defending
Clearances,3,23,2ND,Defending
Total saves,1,2,2ND,Goalkeeping
Goal kicks,2,5,2ND,Goalkeeping
