name,home,away,period,groupName
Ball possession,54%,46%,ALL,Match overview
Expected goals,2.06,0.86,ALL,Match overview
Big chances,2,2,ALL,Match overview
Total shots,20,13,ALL,Match overview
Goalkeeper saves,1,3,ALL,Match overview
Corner kicks,10,3,ALL,Match overview
Fouls,4,11,ALL,Match overview
Passes,475,432,ALL,Match overview
Tackles,24,22,ALL,Match overview
Free kicks,11,4,ALL,Match overview
Yellow cards,0,1,ALL,Match overview
Total shots,20,13,ALL,Shots
Shots on target,4,2,ALL,Shots
Hit woodwork,1,0,ALL,Shots
Shots off target,10,5,ALL,Shots
Blocked shots,6,6,ALL,Shots
Shots inside box,14,8,ALL,Shots
Shots outside box,6,5,ALL,Shots
Big chances scored,0,1,ALL,Attack
Big chances missed,2,1,ALL,Attack
Through balls,0,2,ALL,Attack
Touches in penalty area,49,21,ALL,Attack
Fouled in final third,3,0,ALL,Attack
Offsides,0,1,ALL,Attack
Accurate passes,389,356,ALL,Passes
Throw-ins,17,13,ALL,Passes
Final third entries,61,48,ALL,Passes
Final third phase,133/176 (76%),63/89 (71%),ALL,Passes
Long balls,29/48 (60%),20/42 (48%),ALL,Passes
Crosses,12/38 (32%),2/9 (22%),ALL,Passes
Duels,55%,45%,ALL,Duels
Dispossessed,12,12,ALL,Duels
Ground duels,45/81 (56%),36/81 (44%),ALL,Duels
Aerial duels,19/35 (54%),16/35 (46%),ALL,Duels
Dribbles,10/20 (50%),10/22 (45%),ALL,Duels
Tackles won,71%,59%,ALL,Defending
Total tackles,24,22,ALL,Defending
Interceptions,6,11,ALL,Defending
Recoveries,54,54,ALL,Defending
Clearances,11,49,ALL,Defending
Total saves,1,3,ALL,Goalkeeping
Goals prevented,-1.56,0.78,ALL,Goalkeeping
High claims,0,1,ALL,Goalkeeping
Punches,0,1,ALL,Goalkeeping
Goal kicks,7,13,ALL,Goalkeeping
Ball possession,49%,51%,1ST,Match overview
Expected goals,1.02,0.38,1ST,Match overview
Big chances,0,1,1ST,Match overview
Total shots,9,10,1ST,Match overview
Goalkeeper saves,1,2,1ST,Match overview
Corner kicks,5,2,1ST,Match overview
Passes,229,254,1ST,Match overview
Tackles,11,9,1ST,Match overview
Free kicks,8,1,1ST,Match overview
Yellow cards,0,1,1ST,Match overview
Total shots,9,10,1ST,Shots
Shots on target,2,1,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,2,3,1ST,Shots
Blocked shots,5,6,1ST,Shots
Shots inside box,8,6,1ST,Shots
Shots outside box,1,4,1ST,Shots
Big chances scored,0,0,1ST,Attack
Big chances missed,0,1,1ST,Attack
Through balls,0,0,1ST,Attack
Fouled in final third,1,0,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,182,213,1ST,Passes
Throw-ins,6,7,1ST,Passes
Final third entries,25,26,1ST,Passes
Long balls,14/26 (54%),8/18 (44%),1ST,Passes
Crosses,5/15 (33%),2/6 (33%),1ST,Passes
Duels,59%,41%,1ST,Duels
Dispossessed,4,4,1ST,Duels
Ground duels,26/41 (63%),15/41 (37%),1ST,Duels
Aerial duels,9/18 (50%),9/18 (50%),1ST,Duels
Dribbles,7/12 (58%),5/12 (42%),1ST,Duels
Tackles won,82%,56%,1ST,Defending
Total tackles,11,9,1ST,Defending
Interceptions,5,7,1ST,Defending
Recoveries,28,32,1ST,Defending
Clearances,7,25,1ST,Defending
Total saves,1,2,1ST,Goalkeeping
Goal kicks,3,4,1ST,Goalkeeping
Ball possession,60%,40%,2ND,Match overview
Expected goals,1.04,0.48,2ND,Match overview
Big chances,2,1,2ND,Match overview
Total shots,11,3,2ND,Match overview
Goalkeeper saves,0,1,2ND,Match overview
Corner kicks,5,1,2ND,Match overview
Passes,246,178,2ND,Match overview
Tackles,13,13,2ND,Match overview
Free kicks,3,3,2ND,Match overview
Yellow cards,0,0,2ND,Match overview
Total shots,11,3,2ND,Shots
Shots on target,2,1,2ND,Shots
Hit woodwork,1,0,2ND,Shots
Shots off target,8,2,2ND,Shots
Blocked shots,1,0,2ND,Shots
Shots inside box,6,2,2ND,Shots
Shots outside box,5,1,2ND,Shots
Big chances scored,0,1,2ND,Attack
Big chances missed,2,0,2ND,Attack
Through balls,0,2,2ND,Attack
Fouled in final third,2,0,2ND,Attack
Offsides,0,1,2ND,Attack
Accurate passes,207,143,2ND,Passes
Throw-ins,11,6,2ND,Passes
Final third entries,36,22,2ND,Passes
Long balls,15/22 (68%),12/24 (50%),2ND,Passes
Crosses,7/23 (30%),0/3 (0%),2ND,Passes
Duels,51%,49%,2ND,Duels
Dispossessed,8,8,2ND,Duels
Ground duels,19/40 (48%),21/40 (53%),2ND,Duels
Aerial duels,10/17 (59%),7/17 (41%),2ND,Duels
Dribbles,3/8 (38%),5/10 (50%),2ND,Duels
Tackles won,62%,62%,2ND,Defending
Total tackles,13,13,2ND,Defending
Interceptions,1,4,2ND,Defending
Recoveries,26,22,2ND,Defending
Clearances,4,24,2ND,Defending
Total saves,0,1,2ND,Goalkeeping
Goal kicks,4,9,2ND,Goalkeeping
