x,y
26,51
32,72
33,56
26,24
26,23
56,31
39,13
8,53
2,13
13,39
29,42
38,41
33,50
52,47
55,36
53,40
48,42
56,30
29,37
26,33
41,33
28,34
21,33
28,25
41,23
13,44
5,29
28,38
29,33
26,36
28,36
18,31
39,35
46,28
86,3
87,6
33,56
34,42
44,35
31,34
29,56
11,13
21,15
57,31
57,31
44,32
18,23
28,35
36,44
48,46
19,28
22,30
7,46
13,34
26,47
23,26
41,31
32,32
20,33
27,23
90,58
6,71
30,29
29,31
54,33
34,63
43,10
47,15
30,35
85,48
87,45
35,53
21,70
34,25
95,67
14,34
34,29
48,58
45,24
40,32
57,34
56,35
55,39
39,36
49,31
54,48
51,48
54,50
38,58
34,64
22,37
37,60
12,18
11,13
