x,y
68,75
46,56
34,44
67,42
75,53
71,54
16,12
79,62
42,12
44,10
55,0
11,31
23,10
27,3
22,38
59,21
63,82
68,79
75,98
72,100
46,22
45,32
48,46
74,44
59,7
48,4
43,33
47,11
67,40
72,43
64,22
15,7
48,43
60,32
41,24
41,24
74,27
68,18
76,29
67,28
74,11
78,19
75,41
24,30
72,50
76,37
45,17
21,29
71,10
73,18
84,55
86,54
58,40
73,21
69,7
40,33
13,57
13,30
13,28
40,4
38,16
56,69
32,9
8,55
43,47
48,100
44,82
57,74
64,34
37,10
68,8
38,17
38,17
50,19
54,10
39,47
39,47
56,31
28,32
9,68
29,46
26,14
26,14
12,70
34,100
37,81
68,52
30,29
59,69
65,67
64,95
