x,y
37,52
43,49
9,73
43,29
43,29
27,57
38,47
56,34
53,53
48,80
39,63
44,54
55,44
14,62
30,67
31,56
61,38
53,44
52,47
85,40
34,63
27,73
34,65
43,47
36,57
56,65
45,33
62,13
46,51
20,65
27,67
25,69
36,77
29,72
55,55
47,32
47,32
33,45
32,51
24,58
29,66
30,68
34,65
15,65
31,50
25,57
30,78
10,70
22,70
31,44
31,44
30,100
8,63
31,68
57,56
22,66
25,51
21,61
30,56
24,37
41,77
29,54
46,59
46,59
9,54
4,59
20,49
15,60
27,63
26,62
25,73
18,62
22,70
25,67
47,53
42,51
2,7
14,58
68,46
48,75
44,81
29,63
18,11
34,79
34,79
59,72
54,74
40,99
3,89
6,90
4,76
23,79
21,79
