x,y
40,14
12,43
30,42
19,44
7,97
42,46
12,22
37,45
10,43
11,46
9,46
15,44
25,33
44,42
27,39
26,38
13,26
30,50
12,30
8,23
29,32
30,33
37,79
37,48
51,56
51,46
14,44
40,57
12,19
59,20
29,48
40,37
39,75
36,46
44,7
23,7
27,44
39,50
19,36
25,41
26,38
53,45
45,26
34,11
44,51
3,43
31,20
34,37
23,40
40,35
36,61
23,71
7,50
8,50
20,45
28,36
39,23
23,18
14,42
66,37
66,21
63,19
38,27
37,31
31,30
28,33
60,48
52,34
37,36
64,32
58,31
46,55
43,25
28,38
5,50
30,33
41,33
43,47
30,41
47,63
72,45
35,20
57,35
38,30
64,31
13,50
13,42
27,40
38,74
38,74
