name,home,away,period,groupName
Ball possession,58%,42%,ALL,Match overview
Expected goals,1.31,1.07,ALL,Match overview
Big chances,1,1,ALL,Match overview
Total shots,24,8,ALL,Match overview
Goalkeeper saves,3,8,ALL,Match overview
Corner kicks,5,3,ALL,Match overview
Fouls,6,12,ALL,Match overview
Passes,493,357,ALL,Match overview
Tackles,17,18,ALL,Match overview
Free kicks,12,6,ALL,Match overview
Yellow cards,0,2,ALL,Match overview
Total shots,24,8,ALL,Shots
Shots on target,7,3,ALL,Shots
Hit woodwork,1,0,ALL,Shots
Shots off target,12,2,ALL,Shots
Blocked shots,5,3,ALL,Shots
Shots inside box,15,7,ALL,Shots
Shots outside box,9,1,ALL,Shots
Big chances missed,1,1,ALL,Attack
Touches in penalty area,44,17,ALL,Attack
Fouled in final third,1,0,ALL,Attack
Offsides,0,5,ALL,Attack
Accurate passes,404,267,ALL,Passes
Throw-ins,14,17,ALL,Passes
Final third entries,59,41,ALL,Passes
Final third phase,118/162 (73%),61/92 (66%),ALL,Passes
Long balls,21/52 (40%),23/66 (35%),ALL,Passes
Crosses,4/19 (21%),2/9 (22%),ALL,Passes
Duels,58%,42%,ALL,Duels
Dispossessed,8,6,ALL,Duels
Ground duels,37/67 (55%),30/67 (45%),ALL,Duels
Aerial duels,19/30 (63%),11/30 (37%),ALL,Duels
Dribbles,8/18 (44%),6/17 (35%),ALL,Duels
Tackles won,76%,67%,ALL,Defending
Total tackles,17,18,ALL,Defending
Interceptions,9,11,ALL,Defending
Recoveries,67,61,ALL,Defending
Clearances,14,32,ALL,Defending
Errors lead to a shot,0,1,ALL,Defending
Total saves,3,8,ALL,Goalkeeping
Goals prevented,0.93,0.80,ALL,Goalkeeping
High claims,1,3,ALL,Goalkeeping
Punches,0,1,ALL,Goalkeeping
Goal kicks,4,14,ALL,Goalkeeping
Ball possession,59%,41%,1ST,Match overview
Expected goals,0.86,0.08,1ST,Match overview
Big chances,1,0,1ST,Match overview
Total shots,15,2,1ST,Match overview
Goalkeeper saves,0,7,1ST,Match overview
Corner kicks,2,0,1ST,Match overview
Passes,260,188,1ST,Match overview
Tackles,10,8,1ST,Match overview
Free kicks,6,2,1ST,Match overview
Yellow cards,0,0,1ST,Match overview
Total shots,15,2,1ST,Shots
Shots on target,6,0,1ST,Shots
Hit woodwork,1,0,1ST,Shots
Shots off target,5,1,1ST,Shots
Blocked shots,4,1,1ST,Shots
Shots inside box,9,2,1ST,Shots
Shots outside box,6,0,1ST,Shots
Big chances missed,1,0,1ST,Attack
Fouled in final third,1,0,1ST,Attack
Offsides,0,3,1ST,Attack
Accurate passes,220,146,1ST,Passes
Throw-ins,8,8,1ST,Passes
Final third entries,26,22,1ST,Passes
Long balls,9/21 (43%),11/32 (34%),1ST,Passes
Crosses,2/11 (18%),0/1 (0%),1ST,Passes
Duels,60%,40%,1ST,Duels
Dispossessed,4,5,1ST,Duels
Ground duels,21/34 (62%),13/34 (38%),1ST,Duels
Aerial duels,9/16 (56%),7/16 (44%),1ST,Duels
Dribbles,5/9 (56%),3/8 (38%),1ST,Duels
Tackles won,70%,88%,1ST,Defending
Total tackles,10,8,1ST,Defending
Interceptions,6,3,1ST,Defending
Recoveries,30,31,1ST,Defending
Clearances,1,18,1ST,Defending
Total saves,0,7,1ST,Goalkeeping
Goal kicks,2,6,1ST,Goalkeeping
Ball possession,58%,42%,2ND,Match overview
Expected goals,0.45,0.99,2ND,Match overview
Big chances,0,1,2ND,Match overview
Total shots,9,6,2ND,Match overview
Goalkeeper saves,3,1,2ND,Match overview
Corner kicks,3,3,2ND,Match overview
Passes,233,169,2ND,Match overview
Tackles,7,10,2ND,Match overview
Free kicks,6,4,2ND,Match overview
Yellow cards,0,2,2ND,Match overview
Total shots,9,6,2ND,Shots
Shots on target,1,3,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,7,1,2ND,Shots
Blocked shots,1,2,2ND,Shots
Shots inside box,6,5,2ND,Shots
Shots outside box,3,1,2ND,Shots
Big chances missed,0,1,2ND,Attack
Fouled in final third,0,0,2ND,Attack
Offsides,0,2,2ND,Attack
Accurate passes,184,121,2ND,Passes
Throw-ins,6,9,2ND,Passes
Final third entries,33,19,2ND,Passes
Long balls,12/31 (39%),12/34 (35%),2ND,Passes
Crosses,2/8 (25%),2/8 (25%),2ND,Passes
Duels,55%,45%,2ND,Duels
Dispossessed,4,1,2ND,Duels
Ground duels,16/33 (48%),17/33 (52%),2ND,Duels
Aerial duels,10/14 (71%),4/14 (29%),2ND,Duels
Dribbles,3/9 (33%),3/9 (33%),2ND,Duels
Tackles won,86%,50%,2ND,Defending
Total tackles,7,10,2ND,Defending
Interceptions,3,8,2ND,Defending
Recoveries,37,30,2ND,Defending
Clearances,13,14,2ND,Defending
Total saves,3,1,2ND,Goalkeeping
Goal kicks,2,8,2ND,Goalkeeping
