x,y
32,49
43,66
37,44
35,45
21,27
43,40
36,41
31,43
30,52
38,58
51,53
40,71
36,35
37,35
42,33
5,43
1,41
5,38
36,41
32,100
32,51
43,46
51,73
49,75
27,71
52,44
38,38
32,45
34,42
36,47
25,21
31,11
8,14
35,82
36,71
4,57
42,34
45,42
59,34
54,81
41,73
55,49
35,59
64,64
54,41
49,52
44,49
93,70
37,56
52,47
58,58
57,51
62,41
72,37
27,45
36,44
41,30
35,49
19,49
32,50
32,46
35,47
33,34
35,10
4,39
3,42
14,45
44,56
33,54
38,56
9,72
52,36
58,60
5,55
5,57
31,53
30,53
35,62
44,79
50,53
29,51
31,50
32,25
33,21
54,43
36,23
15,13
23,23
25,31
10,41
31,28
47,18
36,33
35,33
36,31
44,30
44,34
27,26
45,17
32,44
33,30
37,34
35,40
9,79
31,43
34,34
28,18
28,18
31,62
23,31
28,26
23,28
32,47
32,47
43,36
