x,y
90,63
90,64
35,55
54,33
20,55
88,42
32,80
69,36
9,96
10,83
11,92
11,52
54,70
54,70
68,93
60,97
10,74
26,63
22,63
27,48
52,67
51,92
29,90
21,47
13,47
36,54
57,28
57,29
16,56
2,70
19,72
20,67
18,60
31,63
32,63
46,60
46,55
28,61
23,66
10,71
28,79
29,54
93,56
7,46
9,45
51,69
48,53
19,65
29,42
9,68
20,89
24,72
36,54
20,64
6,69
46,74
46,76
46,76
40,66
40,66
43,64
41,67
6,66
51,63
48,55
29,48
73,76
87,90
24,15
58,34
47,51
48,50
48,50
46,52
24,56
48,52
46,53
12,60
92,52
93,51
95,50
94,48
95,51
38,30
18,89
14,81
98,70
89,47
16,88
15,52
12,64
