x,y
43,39
36,62
24,36
22,35
35,51
14,29
49,10
26,33
27,27
19,15
50,8
47,8
47,19
22,20
54,29
47,33
90,72
88,56
41,51
34,46
38,57
28,46
33,29
59,53
52,38
38,44
32,10
31,21
20,18
32,80
31,76
45,60
54,44
17,18
46,12
60,9
61,9
72,35
54,47
46,46
24,37
34,31
37,14
41,50
9,21
22,11
30,33
7,21
44,11
11,25
47,42
45,28
46,28
37,18
56,30
36,27
35,31
13,29
15,11
19,23
19,16
21,18
40,79
43,82
36,27
54,7
55,11
91,51
92,52
43,16
30,32
59,67
58,26
58,32
21,29
14,17
47,48
47,48
59,19
9,56
10,57
36,18
27,20
13,61
91,56
91,49
