x,y
27,50
24,56
32,77
45,49
48,5
30,38
32,37
30,45
61,56
36,69
34,55
34,54
9,47
51,46
37,40
31,27
22,35
24,47
4,40
22,50
31,56
25,49
96,45
96,42
5,41
6,43
21,46
32,52
31,48
30,46
29,40
33,35
26,15
27,10
28,9
45,48
37,49
35,46
37,48
30,46
58,27
52,27
37,54
41,65
95,42
36,55
31,55
66,77
26,60
30,36
32,39
26,77
34,79
3,40
30,66
54,29
31,46
42,70
88,68
87,67
92,74
47,40
47,50
51,50
38,48
28,27
35,35
34,42
29,66
91,33
90,36
19,62
4,40
10,38
5,42
14,72
14,72
11,67
18,65
14,93
13,95
6,52
23,54
23,54
46,48
45,46
43,84
43,80
41,86
44,60
4,45
30,49
28,46
53,59
95,58
20,26
51,54
72,82
77,74
68,69
66,75
87,56
