x,y
28,73
4,85
5,78
47,77
40,80
37,75
44,70
48,74
60,54
53,65
34,47
59,66
55,73
4,39
7,35
8,54
7,68
30,78
42,75
37,64
70,73
31,41
32,64
43,71
45,83
40,81
35,72
55,67
69,88
68,87
31,90
30,95
66,55
54,74
29,79
60,79
63,83
71,64
70,83
74,93
67,74
63,92
37,59
60,94
59,93
33,63
86,45
13,83
38,71
28,65
44,65
26,77
22,76
36,70
23,80
34,76
20,75
33,71
6,52
36,68
40,95
43,94
15,94
38,67
43,28
7,67
62,81
62,73
36,74
37,77
5,83
72,62
67,80
38,78
55,65
61,58
33,72
61,78
61,79
66,63
54,17
59,18
52,68
59,64
64,76
60,65
68,66
72,66
40,60
55,68
60,75
67,78
35,73
44,70
38,71
55,63
73,91
79,87
91,4
93,5
87,46
94,57
81,69
41,93
96,58
8,86
44,69
55,71
5,86
45,69
64,68
40,71
58,75
54,75
59,79
72,68
89,43
31,59
32,64
28,68
29,65
53,71
61,69
59,95
68,81
72,83
75,82
6,95
11,88
5,38
29,100
