x,y
47,38
54,31
37,23
38,9
43,5
54,29
45,44
36,30
48,42
35,15
23,53
13,38
12,9
26,25
43,25
69,49
61,16
56,0
60,29
58,25
62,12
27,24
57,34
31,23
28,5
39,31
40,27
59,0
63,6
56,16
40,17
11,36
8,27
15,5
27,6
58,23
30,28
31,15
31,9
13,14
20,19
20,17
7,12
40,0
64,5
68,28
39,0
58,11
40,14
14,16
24,10
32,30
52,32
67,0
67,7
63,27
46,73
37,14
40,3
16,13
38,35
47,19
39,18
65,29
58,33
64,17
67,12
61,22
50,17
44,11
53,47
25,6
29,0
67,46
52,42
39,24
30,51
24,28
61,43
57,39
66,38
74,14
72,11
35,47
32,41
12,13
