x,y
17,64
20,68
27,40
35,29
36,20
35,15
73,23
69,28
36,5
36,46
38,57
58,29
58,69
28,14
33,32
52,53
64,56
64,68
65,51
64,56
68,45
11,42
64,65
65,73
70,81
70,81
34,43
32,29
42,67
60,60
70,71
47,12
47,12
45,19
52,42
62,31
63,36
25,50
29,43
64,23
55,67
1,37
53,45
53,42
55,49
54,46
52,59
15,52
55,43
72,23
73,17
63,33
66,30
62,34
31,29
54,53
70,14
64,16
46,96
39,96
38,86
76,63
55,92
32,74
32,74
39,64
62,73
63,13
69,36
46,43
66,72
70,75
71,74
67,69
59,69
61,82
52,58
68,42
71,36
71,28
65,86
65,86
61,87
72,75
54,97
47,61
64,73
73,57
74,34
73,47
63,14
59,14
59,67
32,58
33,84
47,17
85,45
34,75
71,60
38,86
36,88
69,74
76,49
34,72
72,76
67,57
