x,y
38,56
34,33
61,13
62,22
62,22
41,36
35,36
59,84
55,81
25,68
71,28
76,24
26,53
40,74
45,31
69,81
64,88
65,71
69,74
44,23
51,0
42,8
42,45
38,9
74,41
91,53
41,23
36,26
98,5
74,47
95,54
43,44
42,34
42,34
39,38
45,68
21,63
37,39
64,50
71,8
72,8
37,66
45,43
45,43
69,80
68,86
50,45
29,17
29,33
59,34
60,88
66,94
40,82
28,74
14,41
53,54
54,19
30,55
31,57
52,63
20,16
76,32
75,32
75,32
62,92
57,63
61,82
68,24
61,45
58,18
71,26
76,35
65,26
64,40
55,44
45,40
41,36
39,29
46,58
56,85
41,13
30,10
18,89
44,8
19,44
23,19
23,44
27,24
72,82
59,26
28,68
22,80
23,4
