Match ID,Team,Player Name,Position,Jersey Number,Height,Country,Date of Birth,Substitute,Total Pass,Accurate Pass,Rating
12436944,Home,Alisson,G,1,191,Brazil,717984000,False,19,16,6.7
12436944,Home,Trent Alexander-Arnold,D,66,180,England,907718400,False,64,45,6.6
12436944,Home,Ibrahima Konaté,D,5,195,France,927590400,False,60,56,6.9
12436944,Home,Virgil van Dijk,D,4,193,Netherlands,678931200,False,109,95,7.6
12436944,Home,Andrew Robertson,D,26,178,Scotland,763344000,False,44,41,6.6
12436944,Home,Ryan Gravenberch,M,38,190,Netherlands,1021507200,False,72,63,7.4
12436944,Home,Alexis Mac Allister,M,10,176,Argentina,914457600,False,47,44,7.2
12436944,Home,Mohamed Salah,M,11,175,Egypt,708566400,False,40,28,6.8
12436944,Home,Dominik Szoboszlai,M,8,187,Hungary,972432000,False,59,46,7.2
12436944,Home,Luis Díaz,F,7,178,Colombia,853113600,False,25,24,6.8
12436944,Home,Diogo Jota,F,20,178,Portugal,849657600,False,13,7,6.4
12436944,Home,Conor Bradley,D,84,181,Northern Ireland,1057708800,True,19,15,6.5
12436944,Home,Darwin Núñez,F,9,188,Uruguay,930182400,True,6,3,6.6
12436944,Home,Cody Gakpo,F,18,193,Netherlands,926035200,True,10,8,6.6
12436944,Home,Konstantinos Tsimikas,D,21,178,Greece,831859200,True,9,9,6.7
12436944,Home,Curtis Jones,M,17,185,England,980812800,True,8,7,6.4
12436944,Home,Caoimhin Kelleher,G,62,188,Ireland,911779200,True,Unknown,Unknown,Unknown
12436944,Home,Joe Gomez,D,2,188,England,864345600,True,Unknown,Unknown,Unknown
12436944,Home,Jarell Quansah,D,78,190,England,1043798400,True,Unknown,Unknown,Unknown
12436944,Home,Wataru Endo,M,3,178,Japan,729216000,True,Unknown,Unknown,Unknown
12436944,Away,Matz Sels,G,26,188,Belgium,699062400,False,30,9,7.8
12436944,Away,Ola Aina,D,34,182,Nigeria,844732800,False,23,23,7.2
12436944,Away,Nikola Milenković,D,31,195,Serbia,876614400,False,23,19,7.3
12436944,Away,Murillo,D,5,183,Brazil,1025740800,False,25,15,7
12436944,Away,Álex Moreno,D,19,179,Spain,739497600,False,21,14,7.2
12436944,Away,Ryan Yates,M,22,190,England,880070400,False,20,18,6.3
12436944,Away,James Ward-Prowse,M,8,177,England,783648000,False,38,31,6.9
12436944,Away,Nicolás Domínguez,M,16,179,Argentina,898992000,False,17,9,6.8
12436944,Away,Morgan Gibbs-White,M,10,171,England,948931200,False,23,19,6.9
12436944,Away,Elliot Anderson,M,8,175,England,1036540800,False,23,17,6.9
12436944,Away,Chris Wood,F,11,191,New Zealand,692064000,False,8,4,6.2
12436944,Away,Callum Hudson-Odoi,M,14,177,England,973555200,True,9,5,7.2
12436944,Away,Anthony Elanga,M,21,178,Sweden,1019865600,True,5,3,6.8
12436944,Away,Neco Williams,D,7,183,Wales,987120000,True,1,1,6.9
12436944,Away,Morato,D,4,190,Brazil,993859200,True,2,Unknown,6.6
12436944,Away,Jota Silva,F,20,179,Portugal,933465600,True,5,2,7.3
12436944,Away,Carlos Miguel,G,33,204,Brazil,907891200,True,Unknown,Unknown,Unknown
12436944,Away,Andrew Omobamidele,D,2,188,Ireland,1024790400,True,Unknown,Unknown,Unknown
12436944,Away,Harry Toffolo,D,15,183,England,808790400,True,Unknown,Unknown,Unknown
12436944,Away,Taiwo Awoniyi,F,9,183,Nigeria,871344000,True,Unknown,Unknown,Unknown
