name,home,away,period,groupName
Ball possession,52%,48%,ALL,Match overview
Expected goals,1.04,0.74,ALL,Match overview
Big chances,1,2,ALL,Match overview
Total shots,16,11,ALL,Match overview
Goalkeeper saves,1,4,ALL,Match overview
Corner kicks,7,3,ALL,Match overview
Fouls,15,18,ALL,Match overview
Passes,367,359,ALL,Match overview
Tackles,17,23,ALL,Match overview
Free kicks,17,13,ALL,Match overview
Yellow cards,3,4,ALL,Match overview
Total shots,16,11,ALL,Shots
Shots on target,5,3,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,5,6,ALL,Shots
Blocked shots,6,2,ALL,Shots
Shots inside box,13,4,ALL,Shots
Shots outside box,3,7,ALL,Shots
Big chances missed,1,2,ALL,Attack
Through balls,0,2,ALL,Attack
Touches in penalty area,37,13,ALL,Attack
Fouled in final third,3,6,ALL,Attack
Offsides,4,0,ALL,Attack
Accurate passes,293,279,ALL,Passes
Throw-ins,17,17,ALL,Passes
Final third entries,50,48,ALL,Passes
Final third phase,84/110 (76%),61/93 (66%),ALL,Passes
Long balls,26/55 (47%),22/50 (44%),ALL,Passes
Crosses,5/23 (22%),1/7 (14%),ALL,Passes
Duels,48%,52%,ALL,Duels
Dispossessed,15,11,ALL,Duels
Ground duels,42/86 (49%),44/86 (51%),ALL,Duels
Aerial duels,14/30 (47%),16/30 (53%),ALL,Duels
Dribbles,8/16 (50%),8/14 (57%),ALL,Duels
Tackles won,71%,61%,ALL,Defending
Total tackles,17,23,ALL,Defending
Interceptions,10,10,ALL,Defending
Recoveries,45,47,ALL,Defending
Clearances,13,25,ALL,Defending
Total saves,1,4,ALL,Goalkeeping
Goals prevented,-0.42,0.73,ALL,Goalkeeping
Big saves,0,2,ALL,Goalkeeping
High claims,0,1,ALL,Goalkeeping
Punches,1,0,ALL,Goalkeeping
Goal kicks,7,7,ALL,Goalkeeping
Ball possession,50%,50%,1ST,Match overview
Expected goals,0.28,0.62,1ST,Match overview
Big chances,0,2,1ST,Match overview
Total shots,6,6,1ST,Match overview
Goalkeeper saves,1,1,1ST,Match overview
Corner kicks,2,1,1ST,Match overview
Passes,185,197,1ST,Match overview
Tackles,10,7,1ST,Match overview
Free kicks,11,6,1ST,Match overview
Yellow cards,1,3,1ST,Match overview
Total shots,6,6,1ST,Shots
Shots on target,2,3,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,3,3,1ST,Shots
Blocked shots,1,0,1ST,Shots
Shots inside box,3,3,1ST,Shots
Shots outside box,3,3,1ST,Shots
Big chances missed,0,2,1ST,Attack
Through balls,0,2,1ST,Attack
Fouled in final third,3,5,1ST,Attack
Offsides,1,0,1ST,Attack
Accurate passes,159,170,1ST,Passes
Throw-ins,7,8,1ST,Passes
Final third entries,25,19,1ST,Passes
Long balls,16/28 (57%),11/18 (61%),1ST,Passes
Crosses,2/11 (18%),1/4 (25%),1ST,Passes
Duels,55%,45%,1ST,Duels
Dispossessed,7,6,1ST,Duels
Ground duels,24/43 (56%),19/43 (44%),1ST,Duels
Aerial duels,5/10 (50%),5/10 (50%),1ST,Duels
Dribbles,3/3 (100%),6/10 (60%),1ST,Duels
Tackles won,70%,71%,1ST,Defending
Total tackles,10,7,1ST,Defending
Interceptions,2,3,1ST,Defending
Recoveries,19,20,1ST,Defending
Clearances,8,13,1ST,Defending
Total saves,1,1,1ST,Goalkeeping
Goal kicks,4,4,1ST,Goalkeeping
Ball possession,54%,46%,2ND,Match overview
Expected goals,0.76,0.12,2ND,Match overview
Big chances,1,0,2ND,Match overview
Total shots,10,5,2ND,Match overview
Goalkeeper saves,0,3,2ND,Match overview
Corner kicks,5,2,2ND,Match overview
Passes,182,162,2ND,Match overview
Tackles,7,16,2ND,Match overview
Free kicks,6,7,2ND,Match overview
Yellow cards,2,1,2ND,Match overview
Total shots,10,5,2ND,Shots
Shots on target,3,0,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,2,3,2ND,Shots
Blocked shots,5,2,2ND,Shots
Shots inside box,10,1,2ND,Shots
Shots outside box,0,4,2ND,Shots
Big chances missed,1,0,2ND,Attack
Through balls,0,0,2ND,Attack
Fouled in final third,0,1,2ND,Attack
Offsides,3,0,2ND,Attack
Accurate passes,134,109,2ND,Passes
Throw-ins,10,9,2ND,Passes
Final third entries,25,29,2ND,Passes
Long balls,10/27 (37%),11/32 (34%),2ND,Passes
Crosses,3/12 (25%),0/3 (0%),2ND,Passes
Duels,43%,57%,2ND,Duels
Dispossessed,8,5,2ND,Duels
Ground duels,18/43 (42%),25/43 (58%),2ND,Duels
Aerial duels,9/20 (45%),11/20 (55%),2ND,Duels
Dribbles,5/13 (38%),2/4 (50%),2ND,Duels
Tackles won,71%,56%,2ND,Defending
Total tackles,7,16,2ND,Defending
Interceptions,8,7,2ND,Defending
Recoveries,26,27,2ND,Defending
Clearances,5,12,2ND,Defending
Total saves,0,3,2ND,Goalkeeping
Goal kicks,3,3,2ND,Goalkeeping
