x,y
44,26
96,62
95,58
45,29
29,33
28,44
29,43
29,54
25,35
11,44
34,38
46,54
34,45
43,41
27,26
97,55
98,52
36,42
38,37
44,46
43,45
38,37
43,34
6,75
36,41
34,43
46,35
45,37
27,29
29,28
42,31
51,21
45,29
34,32
27,17
52,43
36,26
59,37
44,24
10,22
52,9
47,23
26,38
26,41
11,19
48,41
33,60
33,65
32,52
35,57
35,38
13,25
18,14
22,17
25,16
29,58
2,58
2,59
34,80
29,87
13,35
38,36
27,37
37,72
29,49
32,39
32,51
32,81
67,33
11,26
23,32
40,61
44,46
64,31
26,41
32,55
24,61
97,59
96,57
20,71
10,39
33,36
31,44
32,60
31,37
10,48
24,32
44,53
30,59
19,36
30,40
46,50
37,55
12,31
18,30
19,26
43,35
53,64
41,29
40,53
27,58
25,43
30,31
27,33
36,42
36,43
