x,y
36,69
36,69
87,28
77,59
66,48
47,70
72,84
73,90
32,55
63,57
42,86
91,50
69,23
26,85
26,85
67,100
65,93
66,73
76,12
29,44
40,63
68,41
68,15
66,23
48,89
58,84
62,70
62,56
62,51
62,40
69,27
70,37
35,93
22,67
35,83
3,86
3,87
35,20
41,21
37,37
74,56
75,52
54,65
69,71
60,76
74,51
53,46
67,85
58,92
40,81
36,46
37,47
74,100
46,56
46,95
48,91
16,74
37,74
89,40
90,15
9,83
11,79
35,89
14,70
23,85
32,93
19,86
20,94
4,81
21,98
27,97
62,88
60,93
59,95
95,68
64,12
68,15
69,9
61,96
3,42
46,53
58,62
51,63
67,64
76,69
97,21
65,13
43,19
39,21
42,12
73,53
80,50
84,51
99,0
42,37
49,49
67,4
43,31
10,52
67,74
65,35
9,30
64,65
66,71
75,82
89,95
71,76
58,75
43,86
73,75
73,63
45,87
72,81
