x,y
27,67
7,73
29,68
44,73
32,76
52,31
12,63
14,57
19,75
17,54
21,55
2,83
44,93
20,67
28,79
22,71
45,62
2,70
19,76
21,70
14,63
7,75
42,87
21,58
8,55
4,58
47,70
19,64
37,64
57,84
6,55
4,61
36,75
28,63
18,70
51,66
53,66
9,67
22,69
15,43
28,84
22,57
43,77
36,65
5,70
21,80
27,88
27,88
14,62
8,49
24,58
42,61
4,59
31,67
21,61
60,51
3,68
26,68
8,55
4,60
11,83
38,54
46,65
54,72
64,90
80,83
54,51
7,44
35,43
7,62
30,58
21,71
19,70
29,66
69,94
68,63
34,62
43,64
14,84
14,76
14,58
4,57
20,70
36,72
53,73
98,59
97,58
12,56
47,44
