x,y
24,45
21,34
14,17
46,25
56,28
54,26
19,38
35,75
35,67
29,31
34,55
34,52
62,11
61,33
56,35
18,39
18,53
23,26
39,55
31,58
59,31
36,40
36,40
44,29
11,38
11,38
14,30
13,35
5,24
25,43
62,22
65,20
53,14
59,18
75,19
67,30
60,25
74,25
79,12
19,64
53,41
60,30
31,49
15,14
7,11
36,37
57,62
66,47
55,40
71,53
71,91
60,87
65,90
96,79
12,19
27,15
26,23
26,44
7,47
49,51
71,30
24,13
60,31
61,18
62,21
38,60
39,27
8,48
55,36
74,29
5,53
8,33
13,38
13,37
23,49
25,50
28,50
12,54
40,34
30,48
33,58
46,68
13,14
31,52
36,32
12,86
13,48
24,36
36,19
43,36
53,27
20,30
63,0
40,25
26,19
26,27
30,34
58,37
25,36
28,43
30,38
39,24
97,18
40,13
62,29
68,36
68,37
46,44
71,50
72,50
