name,home,away,period,groupName
Ball possession,52%,48%,ALL,Match overview
Expected goals,1.48,1.37,ALL,Match overview
Big chances,2,3,ALL,Match overview
Total shots,12,14,ALL,Match overview
Goalkeeper saves,3,2,ALL,Match overview
Corner kicks,2,5,ALL,Match overview
Fouls,3,6,ALL,Match overview
Passes,458,425,ALL,Match overview
Tackles,13,15,ALL,Match overview
Free kicks,6,3,ALL,Match overview
Yellow cards,2,1,ALL,Match overview
Total shots,12,14,ALL,Shots
Shots on target,3,4,ALL,Shots
Hit woodwork,1,0,ALL,Shots
Shots off target,6,8,ALL,Shots
Blocked shots,3,2,ALL,Shots
Shots inside box,8,7,ALL,Shots
Shots outside box,4,7,ALL,Shots
Big chances scored,1,1,ALL,Attack
Big chances missed,1,2,ALL,Attack
Through balls,1,0,ALL,Attack
Touches in penalty area,31,17,ALL,Attack
Fouled in final third,1,1,ALL,Attack
Offsides,1,0,ALL,Attack
Accurate passes,384,351,ALL,Passes
Throw-ins,21,23,ALL,Passes
Final third entries,56,47,ALL,Passes
Final third phase,106/151 (70%),82/115 (71%),ALL,Passes
Long balls,25/44 (57%),26/48 (54%),ALL,Passes
Crosses,4/20 (20%),4/21 (19%),ALL,Passes
Duels,52%,48%,ALL,Duels
Dispossessed,4,7,ALL,Duels
Ground duels,26/48 (54%),22/48 (46%),ALL,Duels
Aerial duels,15/31 (48%),16/31 (52%),ALL,Duels
Dribbles,9/20 (45%),4/10 (40%),ALL,Duels
Tackles won,62%,53%,ALL,Defending
Total tackles,13,15,ALL,Defending
Interceptions,9,4,ALL,Defending
Recoveries,48,47,ALL,Defending
Clearances,24,33,ALL,Defending
Total saves,3,2,ALL,Goalkeeping
Goals prevented,1.36,-0.11,ALL,Goalkeeping
Big saves,0,1,ALL,Goalkeeping
High claims,3,0,ALL,Goalkeeping
Punches,1,0,ALL,Goalkeeping
Goal kicks,11,8,ALL,Goalkeeping
Ball possession,51%,49%,1ST,Match overview
Expected goals,1.14,0.37,1ST,Match overview
Big chances,2,1,1ST,Match overview
Total shots,8,5,1ST,Match overview
Goalkeeper saves,1,2,1ST,Match overview
Corner kicks,2,1,1ST,Match overview
Passes,241,237,1ST,Match overview
Tackles,6,10,1ST,Match overview
Free kicks,1,0,1ST,Match overview
Yellow cards,0,0,1ST,Match overview
Total shots,8,5,1ST,Shots
Shots on target,3,1,1ST,Shots
Hit woodwork,1,0,1ST,Shots
Shots off target,4,4,1ST,Shots
Blocked shots,1,0,1ST,Shots
Shots inside box,4,2,1ST,Shots
Shots outside box,4,3,1ST,Shots
Big chances scored,1,0,1ST,Attack
Big chances missed,1,1,1ST,Attack
Through balls,0,0,1ST,Attack
Fouled in final third,0,0,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,198,195,1ST,Passes
Throw-ins,14,9,1ST,Passes
Final third entries,31,23,1ST,Passes
Long balls,11/23 (48%),15/25 (60%),1ST,Passes
Crosses,2/12 (17%),1/5 (20%),1ST,Passes
Duels,49%,51%,1ST,Duels
Dispossessed,3,2,1ST,Duels
Ground duels,14/25 (56%),11/25 (44%),1ST,Duels
Aerial duels,6/16 (38%),10/16 (63%),1ST,Duels
Dribbles,8/15 (53%),1/5 (20%),1ST,Duels
Tackles won,33%,50%,1ST,Defending
Total tackles,6,10,1ST,Defending
Interceptions,5,3,1ST,Defending
Recoveries,27,25,1ST,Defending
Clearances,5,18,1ST,Defending
Total saves,1,2,1ST,Goalkeeping
Goal kicks,4,7,1ST,Goalkeeping
Ball possession,52%,48%,2ND,Match overview
Expected goals,0.34,1.00,2ND,Match overview
Big chances,0,2,2ND,Match overview
Total shots,4,9,2ND,Match overview
Goalkeeper saves,2,0,2ND,Match overview
Corner kicks,0,4,2ND,Match overview
Passes,217,188,2ND,Match overview
Tackles,7,5,2ND,Match overview
Free kicks,4,3,2ND,Match overview
Yellow cards,2,1,2ND,Match overview
Total shots,4,9,2ND,Shots
Shots on target,0,3,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,2,4,2ND,Shots
Blocked shots,2,2,2ND,Shots
Shots inside box,4,5,2ND,Shots
Shots outside box,0,4,2ND,Shots
Big chances scored,0,1,2ND,Attack
Big chances missed,0,1,2ND,Attack
Through balls,1,0,2ND,Attack
Fouled in final third,1,1,2ND,Attack
Offsides,1,0,2ND,Attack
Accurate passes,186,156,2ND,Passes
Throw-ins,7,14,2ND,Passes
Final third entries,25,24,2ND,Passes
Long balls,14/21 (67%),11/23 (48%),2ND,Passes
Crosses,2/8 (25%),3/16 (19%),2ND,Passes
Duels,55%,45%,2ND,Duels
Dispossessed,1,5,2ND,Duels
Ground duels,12/23 (52%),11/23 (48%),2ND,Duels
Aerial duels,9/15 (60%),6/15 (40%),2ND,Duels
Dribbles,1/5 (20%),3/5 (60%),2ND,Duels
Tackles won,86%,60%,2ND,Defending
Total tackles,7,5,2ND,Defending
Interceptions,4,1,2ND,Defending
Recoveries,21,22,2ND,Defending
Clearances,19,15,2ND,Defending
Total saves,2,0,2ND,Goalkeeping
Goal kicks,7,1,2ND,Goalkeeping
