x,y
68,16
68,19
31,33
34,47
38,64
29,82
24,69
7,62
91,43
29,71
17,92
17,90
65,67
43,90
64,88
30,70
10,71
39,78
7,90
28,70
31,83
44,93
56,85
67,94
52,91
96,54
96,53
58,68
34,95
46,71
42,83
40,68
44,94
72,79
53,53
12,60
20,61
20,63
35,40
37,38
39,37
71,86
70,96
52,94
59,81
27,54
62,31
6,44
24,65
34,68
75,83
67,86
87,92
72,85
71,91
71,87
69,94
53,86
32,79
43,84
37,69
47,73
12,64
17,58
66,97
62,94
46,88
67,68
59,12
40,18
26,82
35,91
32,75
37,48
72,29
31,80
48,45
46,44
68,86
38,93
6,72
6,69
59,88
19,70
22,71
20,70
31,76
32,79
40,90
56,82
39,89
39,89
61,79
22,55
34,67
32,82
34,82
33,82
69,35
77,34
96,34
95,52
63,76
