x,y
25,60
38,39
5,73
43,79
68,84
28,79
27,96
59,85
43,57
16,100
99,99
36,81
40,84
27,72
28,72
65,78
57,87
53,88
40,88
70,80
33,88
69,56
71,76
53,85
45,81
32,70
8,54
24,72
32,79
43,94
40,94
58,61
51,86
99,99
99,99
66,77
67,79
39,66
30,100
33,67
28,80
99,99
98,38
26,90
24,82
37,77
36,73
26,100
32,97
45,87
20,79
61,70
70,79
38,80
33,95
28,93
35,95
35,99
2,52
41,89
58,77
55,73
39,76
39,60
39,62
68,65
70,73
68,70
65,74
61,73
67,76
51,90
53,96
24,74
2,52
46,90
40,92
46,76
17,78
17,78
16,51
15,52
73,18
57,16
46,31
71,22
19,45
57,4
29,6
28,7
0,35
54,0
56,0
4,49
3,46
