name,home,away,period,groupName
Ball possession,41%,59%,ALL,Match overview
Expected goals,0.71,0.36,ALL,Match overview
Total shots,12,8,ALL,Match overview
Goalkeeper saves,2,4,ALL,Match overview
Corner kicks,5,4,ALL,Match overview
Fouls,10,13,ALL,Match overview
Passes,348,515,ALL,Match overview
Tackles,12,13,ALL,Match overview
Free kicks,13,10,ALL,Match overview
Yellow cards,3,3,ALL,Match overview
Total shots,12,8,ALL,Shots
Shots on target,4,2,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,6,3,ALL,Shots
Blocked shots,2,3,ALL,Shots
Shots inside box,9,3,ALL,Shots
Shots outside box,3,5,ALL,Shots
Touches in penalty area,27,10,ALL,Attack
Fouled in final third,3,1,ALL,Attack
Offsides,2,1,ALL,Attack
Accurate passes,294,446,ALL,Passes
Throw-ins,20,15,ALL,Passes
Final third entries,39,78,ALL,Passes
Final third phase,80/110 (73%),105/140 (75%),ALL,Passes
Long balls,16/33 (48%),20/49 (41%),ALL,Passes
Crosses,5/15 (33%),4/13 (31%),ALL,Passes
Duels,56%,44%,ALL,Duels
Dispossessed,6,7,ALL,Duels
Ground duels,31/57 (54%),26/57 (46%),ALL,Duels
Aerial duels,13/21 (62%),8/21 (38%),ALL,Duels
Dribbles,6/13 (46%),4/9 (44%),ALL,Duels
Tackles won,50%,62%,ALL,Defending
Total tackles,12,13,ALL,Defending
Interceptions,4,5,ALL,Defending
Recoveries,42,32,ALL,Defending
Clearances,21,24,ALL,Defending
Errors lead to a shot,1,2,ALL,Defending
Total saves,2,4,ALL,Goalkeeping
Goals prevented,0.20,-0.33,ALL,Goalkeeping
Big saves,0,1,ALL,Goalkeeping
High claims,2,0,ALL,Goalkeeping
Goal kicks,4,9,ALL,Goalkeeping
Ball possession,45%,55%,1ST,Match overview
Expected goals,0.39,0.21,1ST,Match overview
Total shots,7,5,1ST,Match overview
Goalkeeper saves,1,2,1ST,Match overview
Corner kicks,2,2,1ST,Match overview
Passes,188,232,1ST,Match overview
Tackles,6,5,1ST,Match overview
Free kicks,7,3,1ST,Match overview
Yellow cards,0,1,1ST,Match overview
Total shots,7,5,1ST,Shots
Shots on target,2,1,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,5,2,1ST,Shots
Blocked shots,0,2,1ST,Shots
Shots inside box,6,2,1ST,Shots
Shots outside box,1,3,1ST,Shots
Fouled in final third,2,0,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,160,201,1ST,Passes
Throw-ins,11,3,1ST,Passes
Final third entries,20,36,1ST,Passes
Long balls,7/18 (39%),10/21 (48%),1ST,Passes
Crosses,2/8 (25%),2/7 (29%),1ST,Passes
Duels,61%,39%,1ST,Duels
Dispossessed,1,3,1ST,Duels
Ground duels,17/27 (63%),10/27 (37%),1ST,Duels
Aerial duels,6/11 (55%),5/11 (45%),1ST,Duels
Dribbles,4/8 (50%),2/5 (40%),1ST,Duels
Tackles won,17%,80%,1ST,Defending
Total tackles,6,5,1ST,Defending
Interceptions,1,3,1ST,Defending
Recoveries,18,16,1ST,Defending
Clearances,9,15,1ST,Defending
Total saves,1,2,1ST,Goalkeeping
Goal kicks,3,7,1ST,Goalkeeping
Ball possession,37%,63%,2ND,Match overview
Expected goals,0.33,0.15,2ND,Match overview
Total shots,5,3,2ND,Match overview
Goalkeeper saves,1,2,2ND,Match overview
Corner kicks,3,2,2ND,Match overview
Passes,160,283,2ND,Match overview
Tackles,6,8,2ND,Match overview
Free kicks,6,7,2ND,Match overview
Yellow cards,3,2,2ND,Match overview
Total shots,5,3,2ND,Shots
Shots on target,2,1,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,1,1,2ND,Shots
Blocked shots,2,1,2ND,Shots
Shots inside box,3,1,2ND,Shots
Shots outside box,2,2,2ND,Shots
Fouled in final third,1,1,2ND,Attack
Offsides,2,1,2ND,Attack
Accurate passes,134,245,2ND,Passes
Throw-ins,9,12,2ND,Passes
Final third entries,19,42,2ND,Passes
Long balls,9/15 (60%),10/28 (36%),2ND,Passes
Crosses,3/7 (43%),2/6 (33%),2ND,Passes
Duels,53%,47%,2ND,Duels
Dispossessed,5,4,2ND,Duels
Ground duels,14/30 (47%),16/30 (53%),2ND,Duels
Aerial duels,7/10 (70%),3/10 (30%),2ND,Duels
Dribbles,2/5 (40%),2/4 (50%),2ND,Duels
Tackles won,83%,50%,2ND,Defending
Total tackles,6,8,2ND,Defending
Interceptions,3,2,2ND,Defending
Recoveries,24,16,2ND,Defending
Clearances,12,9,2ND,Defending
Total saves,1,2,2ND,Goalkeeping
Goal kicks,1,2,2ND,Goalkeeping
