name,home,away,period,groupName
Ball possession,54%,46%,ALL,Match overview
Expected goals,1.00,0.83,ALL,Match overview
Big chances,1,1,ALL,Match overview
Total shots,13,10,ALL,Match overview
Goalkeeper saves,5,4,ALL,Match overview
Corner kicks,6,5,ALL,Match overview
Fouls,12,8,ALL,Match overview
Passes,488,430,ALL,Match overview
Tackles,15,17,ALL,Match overview
Free kicks,8,12,ALL,Match overview
Yellow cards,1,2,ALL,Match overview
Total shots,13,10,ALL,Shots
Shots on target,5,5,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,4,4,ALL,Shots
Blocked shots,4,1,ALL,Shots
Shots inside box,12,8,ALL,Shots
Shots outside box,1,2,ALL,Shots
Big chances scored,1,0,ALL,Attack
Big chances missed,0,1,ALL,Attack
Touches in penalty area,29,24,ALL,Attack
Fouled in final third,2,1,ALL,Attack
Offsides,1,0,ALL,Attack
Accurate passes,413,346,ALL,Passes
Throw-ins,21,22,ALL,Passes
Final third entries,63,46,ALL,Passes
Final third phase,134/176 (76%),86/119 (72%),ALL,Passes
Long balls,27/52 (52%),13/48 (27%),ALL,Passes
Crosses,10/34 (29%),4/15 (27%),ALL,Passes
Duels,44%,56%,ALL,Duels
Dispossessed,15,10,ALL,Duels
Ground duels,29/68 (43%),39/68 (57%),ALL,Duels
Aerial duels,20/44 (45%),24/44 (55%),ALL,Duels
Dribbles,6/8 (75%),10/15 (67%),ALL,Duels
Tackles won,60%,35%,ALL,Defending
Total tackles,15,17,ALL,Defending
Interceptions,9,10,ALL,Defending
Recoveries,44,46,ALL,Defending
Clearances,25,34,ALL,Defending
Total saves,5,4,ALL,Goalkeeping
Goals prevented,0.82,0.46,ALL,Goalkeeping
Big saves,1,1,ALL,Goalkeeping
High claims,0,1,ALL,Goalkeeping
Punches,0,2,ALL,Goalkeeping
Goal kicks,4,8,ALL,Goalkeeping
Ball possession,55%,45%,1ST,Match overview
Expected goals,0.50,0.22,1ST,Match overview
Big chances,0,0,1ST,Match overview
Total shots,7,4,1ST,Match overview
Goalkeeper saves,2,3,1ST,Match overview
Corner kicks,1,3,1ST,Match overview
Passes,264,214,1ST,Match overview
Tackles,9,7,1ST,Match overview
Free kicks,4,6,1ST,Match overview
Yellow cards,0,1,1ST,Match overview
Total shots,7,4,1ST,Shots
Shots on target,3,1,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,3,3,1ST,Shots
Blocked shots,1,0,1ST,Shots
Shots inside box,6,3,1ST,Shots
Shots outside box,1,1,1ST,Shots
Big chances scored,0,0,1ST,Attack
Big chances missed,0,0,1ST,Attack
Fouled in final third,1,0,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,233,172,1ST,Passes
Throw-ins,9,13,1ST,Passes
Final third entries,29,17,1ST,Passes
Long balls,14/25 (56%),6/23 (26%),1ST,Passes
Crosses,6/14 (43%),3/8 (38%),1ST,Passes
Duels,46%,54%,1ST,Duels
Dispossessed,6,5,1ST,Duels
Ground duels,14/29 (48%),15/29 (52%),1ST,Duels
Aerial duels,8/19 (42%),11/19 (58%),1ST,Duels
Dribbles,1/2 (50%),2/6 (33%),1ST,Duels
Tackles won,67%,43%,1ST,Defending
Total tackles,9,7,1ST,Defending
Interceptions,6,4,1ST,Defending
Recoveries,21,20,1ST,Defending
Clearances,11,10,1ST,Defending
Total saves,2,3,1ST,Goalkeeping
Goal kicks,2,7,1ST,Goalkeeping
Ball possession,52%,48%,2ND,Match overview
Expected goals,0.49,0.61,2ND,Match overview
Big chances,1,1,2ND,Match overview
Total shots,6,6,2ND,Match overview
Goalkeeper saves,3,1,2ND,Match overview
Corner kicks,5,2,2ND,Match overview
Passes,224,216,2ND,Match overview
Tackles,6,10,2ND,Match overview
Free kicks,4,6,2ND,Match overview
Yellow cards,1,1,2ND,Match overview
Total shots,6,6,2ND,Shots
Shots on target,2,4,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,1,1,2ND,Shots
Blocked shots,3,1,2ND,Shots
Shots inside box,6,5,2ND,Shots
Shots outside box,0,1,2ND,Shots
Big chances scored,1,0,2ND,Attack
Big chances missed,0,1,2ND,Attack
Fouled in final third,1,1,2ND,Attack
Offsides,1,0,2ND,Attack
Accurate passes,180,174,2ND,Passes
Throw-ins,12,9,2ND,Passes
Final third entries,34,29,2ND,Passes
Long balls,13/27 (48%),7/25 (28%),2ND,Passes
Crosses,4/20 (20%),1/7 (14%),2ND,Passes
Duels,42%,58%,2ND,Duels
Dispossessed,9,5,2ND,Duels
Ground duels,15/39 (38%),24/39 (62%),2ND,Duels
Aerial duels,12/25 (48%),13/25 (52%),2ND,Duels
Dribbles,5/6 (83%),8/9 (89%),2ND,Duels
Tackles won,50%,30%,2ND,Defending
Total tackles,6,10,2ND,Defending
Interceptions,3,6,2ND,Defending
Recoveries,23,26,2ND,Defending
Clearances,14,24,2ND,Defending
Total saves,3,1,2ND,Goalkeeping
Goal kicks,2,1,2ND,Goalkeeping
