name,home,away,period,groupName
Ball possession,56%,44%,ALL,Match overview
Expected goals,0.42,1.52,ALL,Match overview
Big chances,0,3,ALL,Match overview
Total shots,11,11,ALL,Match overview
Goalkeeper saves,2,1,ALL,Match overview
Corner kicks,6,3,ALL,Match overview
Fouls,4,13,ALL,Match overview
Passes,438,356,ALL,Match overview
Tackles,10,15,ALL,Match overview
Free kicks,13,4,ALL,Match overview
Yellow cards,1,1,ALL,Match overview
Total shots,11,11,ALL,Shots
Shots on target,4,6,ALL,Shots
Hit woodwork,0,0,ALL,Shots
Shots off target,5,4,ALL,Shots
Blocked shots,2,1,ALL,Shots
Shots inside box,4,6,ALL,Shots
Shots outside box,7,5,ALL,Shots
Big chances scored,0,3,ALL,Attack
Touches in penalty area,12,19,ALL,Attack
Fouled in final third,4,0,ALL,Attack
Offsides,1,1,ALL,Attack
Accurate passes,369,280,ALL,Passes
Throw-ins,15,22,ALL,Passes
Final third entries,52,58,ALL,Passes
Final third phase,71/107 (66%),95/131 (73%),ALL,Passes
Long balls,22/48 (46%),21/58 (36%),ALL,Passes
Crosses,3/18 (17%),1/11 (9%),ALL,Passes
Duels,55%,45%,ALL,Duels
Dispossessed,9,6,ALL,Duels
Ground duels,31/53 (58%),22/53 (42%),ALL,Duels
Aerial duels,13/27 (48%),14/27 (52%),ALL,Duels
Dribbles,9/15 (60%),4/8 (50%),ALL,Duels
Tackles won,80%,73%,ALL,Defending
Total tackles,10,15,ALL,Defending
Interceptions,4,3,ALL,Defending
Recoveries,44,44,ALL,Defending
Clearances,21,33,ALL,Defending
Errors lead to a shot,1,1,ALL,Defending
Total saves,2,1,ALL,Goalkeeping
Goals prevented,-1.33,-1.30,ALL,Goalkeeping
High claims,1,0,ALL,Goalkeeping
Goal kicks,8,9,ALL,Goalkeeping
Ball possession,49%,51%,1ST,Match overview
Expected goals,0.22,0.85,1ST,Match overview
Big chances,0,2,1ST,Match overview
Total shots,5,7,1ST,Match overview
Goalkeeper saves,1,0,1ST,Match overview
Corner kicks,2,2,1ST,Match overview
Passes,202,210,1ST,Match overview
Tackles,5,11,1ST,Match overview
Free kicks,7,3,1ST,Match overview
Yellow cards,0,0,1ST,Match overview
Total shots,5,7,1ST,Shots
Shots on target,0,4,1ST,Shots
Hit woodwork,0,0,1ST,Shots
Shots off target,3,2,1ST,Shots
Blocked shots,2,1,1ST,Shots
Shots inside box,2,3,1ST,Shots
Shots outside box,3,4,1ST,Shots
Big chances scored,0,2,1ST,Attack
Fouled in final third,1,0,1ST,Attack
Offsides,0,0,1ST,Attack
Accurate passes,171,173,1ST,Passes
Throw-ins,9,10,1ST,Passes
Final third entries,19,38,1ST,Passes
Long balls,9/21 (43%),10/25 (40%),1ST,Passes
Crosses,1/3 (33%),1/8 (13%),1ST,Passes
Duels,57%,43%,1ST,Duels
Dispossessed,8,4,1ST,Duels
Ground duels,16/29 (55%),13/29 (45%),1ST,Duels
Aerial duels,5/8 (63%),3/8 (38%),1ST,Duels
Dribbles,5/8 (63%),0/1 (0%),1ST,Duels
Tackles won,60%,64%,1ST,Defending
Total tackles,5,11,1ST,Defending
Interceptions,2,2,1ST,Defending
Recoveries,21,23,1ST,Defending
Clearances,13,7,1ST,Defending
Total saves,1,0,1ST,Goalkeeping
Goal kicks,6,5,1ST,Goalkeeping
Ball possession,63%,37%,2ND,Match overview
Expected goals,0.21,0.67,2ND,Match overview
Big chances,0,1,2ND,Match overview
Total shots,6,4,2ND,Match overview
Goalkeeper saves,1,1,2ND,Match overview
Corner kicks,4,1,2ND,Match overview
Passes,236,146,2ND,Match overview
Tackles,5,4,2ND,Match overview
Free kicks,6,1,2ND,Match overview
Yellow cards,1,1,2ND,Match overview
Total shots,6,4,2ND,Shots
Shots on target,4,2,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,2,2,2ND,Shots
Blocked shots,0,0,2ND,Shots
Shots inside box,2,3,2ND,Shots
Shots outside box,4,1,2ND,Shots
Big chances scored,0,1,2ND,Attack
Fouled in final third,3,0,2ND,Attack
Offsides,1,1,2ND,Attack
Accurate passes,198,107,2ND,Passes
Throw-ins,6,12,2ND,Passes
Final third entries,33,20,2ND,Passes
Long balls,13/27 (48%),11/33 (33%),2ND,Passes
Crosses,2/15 (13%),0/3 (0%),2ND,Passes
Duels,53%,47%,2ND,Duels
Dispossessed,1,2,2ND,Duels
Ground duels,15/24 (63%),9/24 (38%),2ND,Duels
Aerial duels,8/19 (42%),11/19 (58%),2ND,Duels
Dribbles,4/7 (57%),4/7 (57%),2ND,Duels
Tackles won,100%,100%,2ND,Defending
Total tackles,5,4,2ND,Defending
Interceptions,2,1,2ND,Defending
Recoveries,23,21,2ND,Defending
Clearances,8,26,2ND,Defending
Total saves,1,1,2ND,Goalkeeping
Goal kicks,2,4,2ND,Goalkeeping
