name,home,away,period,groupName
Ball possession,54%,46%,ALL,Match overview
Expected goals,1.05,0.91,ALL,Match overview
Big chances,3,0,ALL,Match overview
Total shots,11,18,ALL,Match overview
Goalkeeper saves,2,3,ALL,Match overview
Corner kicks,6,4,ALL,Match overview
Fouls,6,6,ALL,Match overview
Passes,520,461,ALL,Match overview
Tackles,21,20,ALL,Match overview
Free kicks,6,6,ALL,Match overview
Yellow cards,2,0,ALL,Match overview
Total shots,11,18,ALL,Shots
Shots on target,3,5,ALL,Shots
Hit woodwork,0,1,ALL,Shots
Shots off target,2,8,ALL,Shots
Blocked shots,6,5,ALL,Shots
Shots inside box,7,7,ALL,Shots
Shots outside box,4,11,ALL,Shots
Big chances missed,3,0,ALL,Attack
Through balls,1,1,ALL,Attack
Touches in penalty area,23,17,ALL,Attack
Fouled in final third,1,1,ALL,Attack
Offsides,4,2,ALL,Attack
Accurate passes,434,359,ALL,Passes
Throw-ins,16,25,ALL,Passes
Final third entries,49,33,ALL,Passes
Final third phase,64/103 (62%),59/89 (66%),ALL,Passes
Long balls,18/36 (50%),31/54 (57%),ALL,Passes
Crosses,3/30 (10%),3/12 (25%),ALL,Passes
Duels,48%,52%,ALL,Duels
Dispossessed,12,11,ALL,Duels
Ground duels,34/66 (52%),32/66 (48%),ALL,Duels
Aerial duels,17/41 (41%),24/41 (59%),ALL,Duels
Dribbles,7/15 (47%),6/16 (38%),ALL,Duels
Tackles won,62%,60%,ALL,Defending
Total tackles,21,20,ALL,Defending
Interceptions,14,9,ALL,Defending
Recoveries,56,59,ALL,Defending
Clearances,23,31,ALL,Defending
Errors lead to a shot,1,0,ALL,Defending
Total saves,2,3,ALL,Goalkeeping
Goals prevented,-1.34,0.38,ALL,Goalkeeping
Big saves,0,1,ALL,Goalkeeping
High claims,1,1,ALL,Goalkeeping
Goal kicks,5,8,ALL,Goalkeeping
Ball possession,44%,56%,1ST,Match overview
Expected goals,0.52,0.44,1ST,Match overview
Big chances,1,0,1ST,Match overview
Total shots,4,9,1ST,Match overview
Goalkeeper saves,1,1,1ST,Match overview
Corner kicks,3,2,1ST,Match overview
Passes,216,282,1ST,Match overview
Tackles,10,8,1ST,Match overview
Free kicks,4,4,1ST,Match overview
Yellow cards,1,0,1ST,Match overview
Total shots,4,9,1ST,Shots
Shots on target,1,2,1ST,Shots
Hit woodwork,0,1,1ST,Shots
Shots off target,1,6,1ST,Shots
Blocked shots,2,1,1ST,Shots
Shots inside box,3,3,1ST,Shots
Shots outside box,1,6,1ST,Shots
Big chances missed,1,0,1ST,Attack
Through balls,0,1,1ST,Attack
Fouled in final third,0,1,1ST,Attack
Offsides,1,1,1ST,Attack
Accurate passes,173,222,1ST,Passes
Throw-ins,10,14,1ST,Passes
Final third entries,25,19,1ST,Passes
Long balls,12/23 (52%),15/27 (56%),1ST,Passes
Crosses,1/10 (10%),2/8 (25%),1ST,Passes
Duels,53%,47%,1ST,Duels
Dispossessed,3,6,1ST,Duels
Ground duels,17/33 (52%),16/33 (48%),1ST,Duels
Aerial duels,12/22 (55%),10/22 (45%),1ST,Duels
Dribbles,3/8 (38%),4/8 (50%),1ST,Duels
Tackles won,70%,100%,1ST,Defending
Total tackles,10,8,1ST,Defending
Interceptions,8,3,1ST,Defending
Recoveries,27,33,1ST,Defending
Clearances,18,8,1ST,Defending
Total saves,1,1,1ST,Goalkeeping
Goal kicks,4,4,1ST,Goalkeeping
Ball possession,64%,36%,2ND,Match overview
Expected goals,0.54,0.48,2ND,Match overview
Big chances,2,0,2ND,Match overview
Total shots,7,9,2ND,Match overview
Goalkeeper saves,1,2,2ND,Match overview
Corner kicks,3,2,2ND,Match overview
Passes,304,179,2ND,Match overview
Tackles,11,12,2ND,Match overview
Free kicks,2,2,2ND,Match overview
Yellow cards,1,0,2ND,Match overview
Total shots,7,9,2ND,Shots
Shots on target,2,3,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,1,2,2ND,Shots
Blocked shots,4,4,2ND,Shots
Shots inside box,4,4,2ND,Shots
Shots outside box,3,5,2ND,Shots
Big chances missed,2,0,2ND,Attack
Through balls,1,0,2ND,Attack
Fouled in final third,1,0,2ND,Attack
Offsides,3,1,2ND,Attack
Accurate passes,261,137,2ND,Passes
Throw-ins,6,11,2ND,Passes
Final third entries,24,14,2ND,Passes
Long balls,6/13 (46%),16/27 (59%),2ND,Passes
Crosses,2/20 (10%),1/4 (25%),2ND,Passes
Duels,42%,58%,2ND,Duels
Dispossessed,9,5,2ND,Duels
Ground duels,17/33 (52%),16/33 (48%),2ND,Duels
Aerial duels,5/19 (26%),14/19 (74%),2ND,Duels
Dribbles,4/7 (57%),2/8 (25%),2ND,Duels
Tackles won,55%,33%,2ND,Defending
Total tackles,11,12,2ND,Defending
Interceptions,6,6,2ND,Defending
Recoveries,29,26,2ND,Defending
Clearances,5,23,2ND,Defending
Total saves,1,2,2ND,Goalkeeping
Goal kicks,1,4,2ND,Goalkeeping
