Match ID,Team,Player Name,Position,Jersey Number,Height,Country,Date of Birth,Substitute,Total Pass,Accurate Pass,Rating,AverageX,AverageY
12436464,Home,Dean Henderson,G,1,188,England,858124800,False,24,14,5.5,Unknown,Unknown
12436464,Home,Chris Richards,D,26,188,USA,954201600,False,48,42,6.2,Unknown,Unknown
12436464,Home,Maxence Lacroix,D,5,192,France,954979200,False,64,56,6.7,Unknown,Unknown
12436464,Home,Marc Guéhi,D,5,182,England,963446400,False,61,48,6.8,Unknown,Unknown
12436464,Home,Nathaniel Clyne,D,17,175,England,670809600,False,17,15,6.2,Unknown,Unknown
12436464,Home,Will Hughes,M,19,185,England,798076800,False,34,31,6.6,Unknown,Unknown
12436464,Home,Jefferson Lerma,M,8,179,Colombia,783043200,False,26,17,6.5,Unknown,Unknown
12436464,Home,Tyrick Mitchell,M,3,174,England,936144000,False,38,29,6.8,Unknown,Unknown
12436464,Home,Ismaïla Sarr,F,23,185,Senegal,888364800,False,20,17,7.2,Unknown,Unknown
12436464,Home,Daichi Kamada,M,18,184,Japan,839203200,False,13,9,6.5,Unknown,Unknown
12436464,Home,Jean-Philippe Mateta,F,14,192,France,867456000,False,7,6,7,Unknown,Unknown
12436464,Home,Edward Nketiah,F,9,175,England,928022400,True,12,9,6.5,Unknown,Unknown
12436464,Home,Cheick Doucouré,M,28,181,Mali,947289600,True,9,9,6.3,Unknown,Unknown
12436464,Home,Justin Devenny,M,55,184,Northern Ireland,1065830400,True,14,11,6.6,Unknown,Unknown
12436464,Home,Caleb Kporha,D,58,Unknown,England,1152921600,True,2,2,6.4,Unknown,Unknown
12436464,Home,Jeffrey Schlupp,M,15,178,Ghana,725068800,True,3,3,6.4,Unknown,Unknown
12436464,Home,Matt Turner,G,30,190,USA,772416000,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436464,Home,Joel Ward,D,2,188,England,625622400,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436464,Home,Trevoh Chalobah,D,23,190,England,931132800,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436464,Home,Asher Agbinone,F,28,Unknown,England,1127865600,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436464,Away,David Raya,G,22,183,Spain,811123200,False,50,33,7.5,Unknown,Unknown
12436464,Away,Jurriën Timber,D,12,179,Netherlands,992736000,False,50,44,6.7,Unknown,Unknown
12436464,Away,William Saliba,D,2,193,France,985392000,False,106,101,6.4,Unknown,Unknown
12436464,Away,Gabriel Magalhães,D,6,190,Brazil,882489600,False,67,64,7,Unknown,Unknown
12436464,Away,Myles Lewis-Skelly,M,49,178,England,1159228800,False,19,18,6.7,Unknown,Unknown
12436464,Away,Martin Ødegaard,M,8,178,Norway,913852800,False,55,52,6.9,Unknown,Unknown
12436464,Away,Thomas Partey,M,5,185,Ghana,739929600,False,58,53,7.1,Unknown,Unknown
12436464,Away,Kai Havertz,F,29,193,Germany,929059200,False,24,19,7.6,Unknown,Unknown
12436464,Away,Bukayo Saka,F,7,178,England,999648000,False,3,2,6.5,Unknown,Unknown
12436464,Away,Gabriel Jesus,F,9,175,Brazil,860025600,False,15,12,8.5,Unknown,Unknown
12436464,Away,Gabriel Martinelli,F,11,180,Brazil,992822400,False,23,15,7.2,Unknown,Unknown
12436464,Away,Leandro Trossard,F,19,172,Belgium,786499200,True,22,16,6.8,Unknown,Unknown
12436464,Away,Riccardo Calafiori,D,33,188,Italy,1021766400,True,27,24,7.4,Unknown,Unknown
12436464,Away,Declan Rice,M,41,188,England,916272000,True,21,19,8.4,Unknown,Unknown
12436464,Away,Mikel Merino,M,23,188,Spain,835401600,True,6,4,6.4,Unknown,Unknown
12436464,Away,Ethan Nwaneri,F,53,176,England,1174435200,True,6,3,6.7,Unknown,Unknown
12436464,Away,Neto,G,32,190,Brazil,616809600,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436464,Away,Kieran Tierney,D,3,178,Scotland,865468800,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436464,Away,Jakub Kiwior,D,15,189,Poland,950572800,True,Unknown,Unknown,Unknown,Unknown,Unknown
12436464,Away,Jorginho,M,20,180,Italy,693187200,True,Unknown,Unknown,Unknown,Unknown,Unknown
