x,y
56,75
56,77
85,66
84,62
5,48
57,89
56,91
30,68
38,89
59,90
76,95
85,96
88,88
89,72
87,74
56,95
23,81
35,93
78,84
87,60
78,64
51,97
58,96
89,66
92,67
95,10
71,93
66,91
69,100
69,86
56,91
76,94
60,90
85,82
39,27
8,84
8,84
85,73
60,85
70,95
82,90
81,92
23,64
78,81
91,93
86,95
91,77
87,93
91,69
91,83
93,59
95,64
73,73
73,72
51,67
65,80
77,92
85,97
96,78
9,82
64,77
64,75
47,89
47,89
43,88
20,52
5,96
61,96
61,96
59,89
75,93
69,91
19,61
88,68
82,95
92,61
78,48
74,84
79,78
59,67
72,95
95,88
74,100
94,81
98,75
74,69
