x,y
50,50
30,93
16,94
13,66
25,45
26,53
97,81
70,93
75,95
87,69
84,55
87,83
92,91
90,84
73,92
99,99
56,33
64,42
72,39
99,99
89,81
95,62
99,99
68,67
27,87
42,91
42,91
85,45
50,49
84,71
35,89
91,93
95,94
93,95
82,92
94,84
96,42
99,0
70,25
76,16
71,0
68,7
72,17
99,0
34,76
74,61
71,79
91,85
94,84
90,88
90,89
80,92
73,94
76,89
58,69
78,65
89,67
99,99
90,92
56,52
99,0
59,16
67,4
61,54
75,23
76,36
68,87
55,68
77,73
68,94
64,95
64,76
58,46
84,0
84,2
70,24
70,52
99,99
36,52
36,52
78,67
63,27
63,27
65,22
69,25
73,31
24,39
28,36
23,26
22,98
66,58
71,49
22,86
66,95
53,83
84,68
89,68
23,60
66,53
56,37
56,5
57,14
71,60
76,55
99,99
89,80
64,6
62,64
84,22
68,88
67,90
66,64
71,26
66,35
99,0
81,5
88,13
41,11
36,17
68,52
96,24
96,28
99,0
78,9
54,16
