x,y
43,66
40,65
69,58
54,56
54,20
55,44
59,79
70,73
59,63
62,43
53,39
39,48
46,41
53,63
43,35
61,7
77,37
71,72
68,38
70,33
53,69
56,72
43,51
41,63
82,41
73,17
76,18
37,62
66,50
74,36
69,25
67,36
86,48
32,41
66,68
73,54
68,24
79,33
76,57
76,60
55,43
56,13
41,11
71,45
61,65
66,53
68,61
60,67
56,69
64,25
70,50
58,87
82,49
34,6
24,76
54,67
54,27
47,47
68,7
62,14
62,14
56,18
51,30
54,39
77,34
67,38
61,37
70,32
70,50
70,36
37,69
36,66
44,70
47,79
42,84
66,44
67,40
74,40
59,67
52,54
55,43
23,48
57,52
65,34
42,47
55,45
69,63
69,59
66,59
68,67
64,77
59,67
64,61
64,61
18,37
39,69
36,53
38,57
60,83
23,40
58,68
56,63
30,52
23,53
23,53
29,56
75,82
80,85
93,97
