x,y
35,33
35,18
19,5
61,39
30,23
31,24
11,16
24,13
42,9
10,25
36,19
35,24
58,33
62,35
78,12
37,40
35,45
43,49
43,31
44,52
55,36
52,55
56,17
36,48
29,45
41,30
10,48
19,37
12,36
24,34
23,26
56,8
59,38
55,43
13,36
36,50
46,60
93,49
92,49
56,10
84,40
80,36
15,27
37,35
33,26
35,17
37,37
21,93
19,93
35,49
25,24
25,25
51,42
22,27
70,49
73,49
67,32
13,29
14,26
29,38
4,29
5,30
35,41
58,29
57,27
4,63
4,60
11,57
14,56
14,56
57,32
32,77
23,40
23,40
14,16
49,32
56,33
65,45
65,45
53,34
26,27
46,37
52,31
32,19
24,20
24,28
5,35
