x,y
34,51
55,23
42,26
44,24
33,50
30,46
55,28
53,30
48,46
95,39
28,17
35,23
39,9
40,8
45,16
20,4
20,5
14,28
14,24
26,33
24,39
39,50
37,77
34,53
95,38
94,38
18,4
10,8
29,4
41,31
46,34
39,22
19,51
15,52
39,27
0,47
25,20
22,25
12,25
26,40
11,9
2,2
31,25
31,26
34,49
28,27
26,58
26,63
40,25
12,19
15,27
36,38
43,37
33,49
34,52
46,57
77,89
10,50
27,29
53,47
40,33
37,40
52,40
28,30
18,43
34,39
31,29
46,31
46,35
56,16
42,32
45,32
46,34
2,53
44,49
32,49
31,50
44,43
31,12
31,12
31,53
6,46
4,47
8,28
11,28
40,59
43,47
32,18
33,47
