name,home,away,period,groupName
Ball possession,41%,59%,ALL,Match overview
Expected goals,4.16,1.11,ALL,Match overview
Big chances,7,3,ALL,Match overview
Total shots,15,15,ALL,Match overview
Goalkeeper saves,4,2,ALL,Match overview
Corner kicks,8,2,ALL,Match overview
Fouls,11,8,ALL,Match overview
Passes,376,552,ALL,Match overview
Tackles,22,16,ALL,Match overview
Free kicks,8,11,ALL,Match overview
Yellow cards,3,2,ALL,Match overview
Total shots,15,15,ALL,Shots
Shots on target,7,5,ALL,Shots
Hit woodwork,2,0,ALL,Shots
Shots off target,5,5,ALL,Shots
Blocked shots,3,5,ALL,Shots
Shots inside box,13,8,ALL,Shots
Shots outside box,2,7,ALL,Shots
Big chances scored,2,2,ALL,Attack
Big chances missed,5,1,ALL,Attack
Through balls,5,1,ALL,Attack
Touches in penalty area,27,28,ALL,Attack
Fouled in final third,2,3,ALL,Attack
Offsides,6,2,ALL,Attack
Accurate passes,288,476,ALL,Passes
Throw-ins,11,21,ALL,Passes
Final third entries,38,68,ALL,Passes
Final third phase,39/72 (54%),98/141 (70%),ALL,Passes
Long balls,19/48 (40%),19/36 (53%),ALL,Passes
Crosses,3/11 (27%),4/16 (25%),ALL,Passes
Duels,51%,49%,ALL,Duels
Dispossessed,4,8,ALL,Duels
Ground duels,44/81 (54%),37/81 (46%),ALL,Duels
Aerial duels,7/19 (37%),12/19 (63%),ALL,Duels
Dribbles,15/27 (56%),11/25 (44%),ALL,Duels
Tackles won,59%,50%,ALL,Defending
Total tackles,22,16,ALL,Defending
Interceptions,7,12,ALL,Defending
Recoveries,67,56,ALL,Defending
Clearances,17,12,ALL,Defending
Errors lead to a shot,0,2,ALL,Defending
Errors lead to a goal,2,2,ALL,Defending
Total saves,4,2,ALL,Goalkeeping
Goals prevented,-0.62,-0.90,ALL,Goalkeeping
Big saves,2,0,ALL,Goalkeeping
Goal kicks,8,7,ALL,Goalkeeping
Ball possession,37%,63%,1ST,Match overview
Expected goals,2.16,0.83,1ST,Match overview
Big chances,4,3,1ST,Match overview
Total shots,7,9,1ST,Match overview
Goalkeeper saves,3,1,1ST,Match overview
Corner kicks,0,2,1ST,Match overview
Passes,181,305,1ST,Match overview
Tackles,8,9,1ST,Match overview
Free kicks,5,2,1ST,Match overview
Yellow cards,2,2,1ST,Match overview
Total shots,7,9,1ST,Shots
Shots on target,5,4,1ST,Shots
Hit woodwork,2,0,1ST,Shots
Shots off target,1,3,1ST,Shots
Blocked shots,1,2,1ST,Shots
Shots inside box,6,7,1ST,Shots
Shots outside box,1,2,1ST,Shots
Big chances scored,2,2,1ST,Attack
Big chances missed,2,1,1ST,Attack
Through balls,2,1,1ST,Attack
Fouled in final third,2,0,1ST,Attack
Offsides,3,2,1ST,Attack
Accurate passes,133,265,1ST,Passes
Throw-ins,2,14,1ST,Passes
Final third entries,22,26,1ST,Passes
Long balls,10/25 (40%),9/16 (56%),1ST,Passes
Crosses,0/2 (0%),3/12 (25%),1ST,Passes
Duels,52%,48%,1ST,Duels
Dispossessed,2,2,1ST,Duels
Ground duels,22/40 (55%),18/40 (45%),1ST,Duels
Aerial duels,3/8 (38%),5/8 (63%),1ST,Duels
Dribbles,9/16 (56%),7/13 (54%),1ST,Duels
Tackles won,63%,11%,1ST,Defending
Total tackles,8,9,1ST,Defending
Interceptions,4,5,1ST,Defending
Recoveries,36,29,1ST,Defending
Clearances,12,2,1ST,Defending
Total saves,3,1,1ST,Goalkeeping
Goal kicks,5,3,1ST,Goalkeeping
Ball possession,46%,54%,2ND,Match overview
Expected goals,2.00,0.28,2ND,Match overview
Big chances,3,0,2ND,Match overview
Total shots,8,6,2ND,Match overview
Goalkeeper saves,1,1,2ND,Match overview
Corner kicks,8,0,2ND,Match overview
Passes,195,247,2ND,Match overview
Tackles,14,7,2ND,Match overview
Free kicks,3,9,2ND,Match overview
Yellow cards,1,0,2ND,Match overview
Total shots,8,6,2ND,Shots
Shots on target,2,1,2ND,Shots
Hit woodwork,0,0,2ND,Shots
Shots off target,4,2,2ND,Shots
Blocked shots,2,3,2ND,Shots
Shots inside box,7,1,2ND,Shots
Shots outside box,1,5,2ND,Shots
Big chances scored,0,0,2ND,Attack
Big chances missed,3,0,2ND,Attack
Through balls,3,0,2ND,Attack
Fouled in final third,0,3,2ND,Attack
Offsides,3,0,2ND,Attack
Accurate passes,155,211,2ND,Passes
Throw-ins,9,7,2ND,Passes
Final third entries,16,42,2ND,Passes
Long balls,9/23 (39%),10/20 (50%),2ND,Passes
Crosses,3/9 (33%),1/4 (25%),2ND,Passes
Duels,50%,50%,2ND,Duels
Dispossessed,2,6,2ND,Duels
Ground duels,22/41 (54%),19/41 (46%),2ND,Duels
Aerial duels,4/11 (36%),7/11 (64%),2ND,Duels
Dribbles,6/11 (55%),4/12 (33%),2ND,Duels
Tackles won,57%,100%,2ND,Defending
Total tackles,14,7,2ND,Defending
Interceptions,3,7,2ND,Defending
Recoveries,31,27,2ND,Defending
Clearances,5,10,2ND,Defending
Total saves,1,1,2ND,Goalkeeping
Goal kicks,3,4,2ND,Goalkeeping
